,user_id,business_id,text,date,compliment_count
1,Yi5KGA-QvolRWNeDfzEKrw,Egd-0nDgzZGEVA0R09yyUQ,Salmon Melissa,2011-08-04 21:54:35,0
22,ca___2Qaf5FFyPCf6T2eZA,NN6HpdvQlGZUVjBwzhgUWQ,Awesome housemade Bloody Mary! Thanks Rob!,2011-12-31 16:29:02,0
25,WBWBB9fLZ7ialgUSPf9d7w,Eg_M8eeu9SDEdbP7iUmVbQ,I love it here.,2013-12-15 22:03:47,0
35,4mTp-ba1gdgxrNfD_7RIQg,irwDkp2eMP2x-4MfunRt8g,Family style place,2016-12-11 23:19:53,0
38,UsmTxWbobLsI6WR1Db0W7A,eU_713ec6fTGNO4BegRaww,Needed a fix.,2012-07-26 22:11:02,0
40,135DbbQnr3BEkQbBzZ9T1A,Zd9VJFJjfaadaJmCMFv-RQ,Feeling adventurous? Try the Moroccan spiced chicken and plum pizza!,2015-06-08 23:21:33,0
48,r-zUIQPaHzvIyL93wQaoiQ,aVBFKYoF0AHuusNssaQpJA,Bring back your slice box and receive double punches.,2012-01-16 19:19:05,0
100,yfK0Od09W_D5jzXBzRgnlA,38aN0fB_zHtkw1kb3lSj8g,Mashed potato pizza and baseball.,2011-10-12 22:39:42,0
123,ZLD9DGhfwh5Bp4sOUjvOEw,rSAg87gLy4YPWMJ_zMBn-g,The best appetizer is the house meatballs. They serve them with fresh crusty bread!!! & fresh tomato basil sauce - so GOOD!! With a glass of wine!,2018-02-18 01:01:40,0
221,X187Nh15l2YESRRcEruY6Q,6kD0vTLj3oZJm7kXRSvfKw,"BREAD PUDDING. Get it. Also, the portion size of this dessert is perfect for 2 people to share.",2013-12-08 19:49:31,0
250,MQ03IqMxl_j3AcyTl7vTjw,zUE7mWTE5Ee8adPD1eWbUg,Everything is always delicious at gateway Grill,2017-10-02 05:31:21,0
251,nOcP-0PIg4REFX4JeR49aw,FTVZYUvQtydyO6rQbOFPTw,Small. Only two tables,2012-03-14 01:07:40,0
265,f_RaMSio6bPjAMXtfZqgXw,F56TiSa71Tk4PIQ0HN8oag,Getting the Seafood Diablo Pasta yum!!!!!!,2012-04-05 22:50:52,0
298,UoOQtIt5osc2pPNA_KG-fg,BcLFIr4wtd3GQ3fnz15yDQ,Best Italian food in town! Cacio e pepe is a must. Great wine selection.,2017-09-10 03:47:10,0
325,d5WLqmTMvmL7-RmUDVKqqQ,h98IJqWW0wVxwoLV03Azfw,Gluten free crust for $2 extra,2016-12-06 22:42:24,0
334,LUlKtaM3nXd-E4N4uOk_fQ,fiRbomFAAtfTYOTTtnDUcA,Delivery until 1 o'clock,2012-05-21 04:39:27,0
341,5qaKHApPQtpzD15S5_wWbQ,t952QLgrh-5l1woJ4IFgUA,"Great place, personal size pizzas are excellent!",2013-10-11 02:43:04,0
357,YYDXkxkKI5gqdDrnT5YxFA,w4a6TuFWArSc29dB51rPNA,Great pizza and fries.,2012-11-24 20:37:08,0
384,-0x2ov-qcCopv32Imm-TYg,2QvAgu0Jgoa_BzD7XP7Tqg,"Try their Christie's Chocolate Chip cookies, excellent!",2016-08-23 18:14:44,0
385,0tC5OOTuwvPGnnqhPCoRSw,NylzsZ9pSn4ZNuGMHKSYPw,I think they're closed. :(,2016-01-07 18:59:56,0
400,GMKoemATfrXg1deaXxt2jA,JZ4ZRdRSllhuAt94tFCH8w,Hmm. Soft drink order equals bottled soda. Guess that means no free refills.,2016-05-14 15:59:24,0
408,s53lg6FLUHubh2WQAStz6w,OXrFWgoz533T8tMRemkiww,You will not be disappointed here! They have some of the best pizza margherita I've ever had and a great selection of Italian wines.,2013-06-10 02:41:50,0
416,KqItBIJXO_UhZ6MktvuI0Q,1FodVSAxoKqEKYQc3QHgvg,Yummy pizza! Fast delivery,2014-06-14 16:31:48,0
432,owj_Ij0UvMi8ZiGa_Y_deg,ttwba0MugfWyfGB9HH6fMQ,"Big ass place!  3x as big as lake rd. Great bar area to sit. 10"" pie a little sloppy compared to lake rd. Had to knife & fork it, I like to pick it up ya know???",2018-01-06 20:25:33,0
436,UeEzEYOCSKUjHCTx7IvdvA,y6R_bSCYiotoUjvygVcFaQ,"This is a great place if you want to have a pre-arranged ""team meal"". A bit out of the way from the sports complexes in the area, but if you call ahead they'll set you up with a nice buffet at a great price.",2017-11-21 22:56:41,0
468,0tC5OOTuwvPGnnqhPCoRSw,WBay6AZsHMExtMQsRc9-bQ,$5 small cheese pizzas all day on Mondays!,2016-01-18 23:28:41,0
483,RJy-eOKqR2Y0Q6ZIuRxQrQ,FTVZYUvQtydyO6rQbOFPTw,Good stuff,2012-11-07 17:11:04,0
502,QBykfkTwOvQODgOcAiioAw,w4a6TuFWArSc29dB51rPNA,The Ohio Apple salad is great. Good mix of flavors and the dressing is not too creamy or overwhelming.,2014-09-15 00:25:20,0
513,3xBFFH866WoySDG7uuwBSQ,jW4-bGuymLGlB9OBsTq3TA,I like the Fungi Pizza,2018-04-12 15:55:35,0
519,E73xr_twLJZemdGrXWQobQ,8LtLZER8PiJsD8itophWgA,"Italian Cheese Bread, Mmmm!",2010-08-22 22:18:26,0
528,2ZZNOoMQ7WFvFoxDUFw1wg,kwMJ4KfhEcrk9jiMe-S6wQ,Nutella dessert pizza with gelato on top!,2014-02-15 00:57:35,0
540,r52OQY3BW75X9eZn5eoK7g,13l5G_oIAjsbo-zPg7LOAA,Terrible,2017-03-28 01:56:29,0
549,6OQ5ULkADQ9bFAaVABchvA,osaAof7PCiXg6GRdUjL6mQ,"Always great service, and delicious food at decent prices!",2017-03-17 21:34:23,0
579,DZChyIi8X3LMVLi86793VQ,u8C8pRvaHXg3PgDrsUHJHQ,Yum.,2011-08-14 21:40:19,0
598,m___sasW8jFYDt3w0dcSZA,0qsarzXaZau8REdE0rToxA,"This place is the BEST!! I love the mashed potato pizza!! When I'm working at hospital in Lakewood, this is my place to go!! Angelo's rocks!",2010-12-29 18:56:05,0
640,IODlZ-i3BwgJbhnBT06q-w,KZeD91osgdu3OSqoutRMpQ,Good service.,2017-03-28 22:23:35,0
665,ZvL_VsOJei7qDA1RObC0FQ,ckbDWYPT8TP7etP0WHU2Yg,Delicious pizza!,2017-03-21 22:53:13,0
671,z4MQzyewTRzSoStg0NwL-w,0vAHRd4Xlsdx3fHV8JCRBQ,"Good pizza, yea! Cash only, BOO!",2012-10-15 22:44:51,0
703,135DbbQnr3BEkQbBzZ9T1A,fiRbomFAAtfTYOTTtnDUcA,Food reminds me of Bites and Brews...and not in a good way...,2015-10-31 05:23:19,0
727,iJYbYTMyF2cRwBceDvTmtA,A4aU9qMO4yxv4q3dqHZjmw,Best pizza ever!!!,2013-11-29 19:50:20,0
750,HNycc5PctOiR2PXb-TFCIQ,qkDlRkNfrXE_4t2vMrTo0A,If you have to choose red vs. white sangria...always pick the red!!,2014-06-05 00:13:11,0
751,BAKVE7TzJfjMFYGqAN2eRA,J9f-9Prw2YVM-fiZqv2fmQ,Remember: order your fries smaller than you think.,2010-12-12 20:38:05,0
769,5ieSTYGXs76CcstX-SzwCQ,ik5eS5kHpz7KVNLJCpJkXA,Just getting worse. I've tried and tried. Just not customer friendly. So sad.,2018-04-25 23:12:08,0
779,B5IS8sVUDbffYw0ruqbvCQ,hUCujBvgttk5jNh_uQwi2Q,The best! The Pittsburgher is the best sandwhich in the Burgh,2015-02-16 00:46:59,0
789,l2vGsR2gtzelcAswfBGmxw,l_MAsRrpzf2sXPykr9DyxQ,I've loved this place since I was a kid.  I stop by when I'm in the neighborhood.,2015-10-06 15:40:42,0
790,0tC5OOTuwvPGnnqhPCoRSw,GO6HVcOtwuIOSzys6Qut9w,Groupon available now!,2016-01-29 16:02:41,0
797,BgrC5J_FfcsFHI7vgrJ2Eg,-7PX_FOoCwktlunImRyZdg,Really good pizza. On par with Mercurio's Margarita pizza.,2017-06-17 01:43:25,0
815,igcnVpgAYC2EMP0sXZmuTQ,0qsarzXaZau8REdE0rToxA,Busy!,2011-12-26 23:12:39,0
849,HV5HZf7DOQHiwCtNdor2Zg,h7Mw3lNMGttGNlNs68Bucw,"Great pizza & amazing service. Also, try one of their salads...you'll be blown away on how good it is! My favorite is the Havest salad.",2014-10-26 05:13:20,0
870,z8Sx4-aRLG-ryZnHVjG3Ow,xeN57OX3lJfY96nfEx63fg,Edible,2016-04-01 17:56:27,0
884,oCtKm4epraLba9BJ6V1oIg,Iam7tYWhssw_rscSBkeRIQ,They don't deliver,2016-01-17 15:12:27,0
886,vI7X_PYnUc5cjd-iPbhARA,BMR_AsSBzTQHqW-SQabI4w,CPK Butter Cake goes with everything.,2012-05-23 21:30:12,0
902,CPVK69kCuL6KHE8wF856Mg,F56TiSa71Tk4PIQ0HN8oag,Planning a party here and they have been nothing but awesome helping me organize!,2013-03-19 22:31:37,0
910,2ZZNOoMQ7WFvFoxDUFw1wg,kwMJ4KfhEcrk9jiMe-S6wQ,The coffee here is excellent -- better than that at many of the coffee shops on Walnut Street!,2014-03-16 17:52:16,0
912,Ka73XG0UFe_d-QuFEMZtHQ,xVel-geulMD5JtfoN_34YQ,Try the sweet sauce...love it.,2016-08-20 21:18:31,0
