"","Feature","Gain","Cover","Frequency","Importance"
"1","great",0.0743678777478176,0.0208797802282035,0.0262282970077577,0.0743678777478176
"2","delicious",0.0719280418422455,0.0159087420411858,0.0210565201329885,0.0719280418422455
"3","not",0.0663589447380727,0.01897719097123,0.0132988548208349,0.0663589447380727
"4","worst",0.0450907438564265,0.0128116480323065,0.00591060214259328,0.0450907438564265
"5","best",0.0424111928714132,0.0144704810725035,0.0110823790173624,0.0424111928714132
"6","rude",0.0369088256369057,0.0110850497709486,0.00517177687476912,0.0369088256369057
"7","amazing",0.0355670306232475,0.012956313127151,0.00886590321388992,0.0355670306232475
"8","no",0.0349029070392949,0.00680372749425162,0.0055411895086812,0.0349029070392949
"9","terrible",0.0320322064397275,0.0116582988616039,0.00480236424085704,0.0320322064397275
"10","told",0.0299403094609547,0.00441094498178928,0.00517177687476912,0.0299403094609547
"11","was",0.0224502069112594,0.00836863247698614,0.0147765053564832,0.0224502069112594
"12","minutes",0.0224014176410182,0.00748942217166832,0.00480236424085704,0.0224014176410182
"13","horrible",0.022305048888519,0.0112095590564222,0.00332471370520872,0.022305048888519
"14","called",0.0221761230928458,0.00439262603189304,0.00258588843738456,0.0221761230928458
"15","excellent",0.018527614096475,0.0123690145437569,0.00443295160694496,0.018527614096475
"16","perfect",0.0165422174162376,0.0095037123426432,0.00406353897303288,0.0165422174162376
"17","favorite",0.014048430639134,0.011775857867984,0.00406353897303288,0.014048430639134
"18","friendly",0.0131573176811855,0.0106396361707616,0.00406353897303288,0.0131573176811855
"19","love",0.0113088429975411,0.0111003900298048,0.00443295160694496,0.0113088429975411
"20","good",0.011121915957401,0.00719820547765396,0.0151459179903953,0.011121915957401
"21","awesome",0.0107117386116347,0.0134407475799625,0.00517177687476912,0.0107117386116347
"22","but",0.0104301076006288,0.00619210293403053,0.0199482822312523,0.0104301076006288
"23","awful",0.0101541515507963,0.0111302762299065,0.00258588843738456,0.0101541515507963
"24","definitely",0.00966689923254486,0.00695971161504827,0.0073882526782416,0.00966689923254486
"25","asked",0.0092050027605391,0.0032880281045457,0.00295530107129664,0.0092050027605391
"26","money",0.00919315434998659,0.00596482880767565,0.0018470631695604,0.00919315434998659
"27","manager",0.00910334186258374,0.00692947790099188,0.0036941263391208,0.00910334186258374
"28","fresh",0.00842542527302814,0.0084524826297632,0.00443295160694496,0.00842542527302814
"29","poor",0.00825974224028296,0.00932811850583297,0.00221647580347248,0.00825974224028296
"30","said",0.00753919138673576,0.00340618284913387,0.0018470631695604,0.00753919138673576
"31","mediocre",0.00687556516567637,0.00960548428651116,0.00443295160694496,0.00687556516567637
"32","cold",0.00670576650309858,0.00833080310077766,0.0018470631695604,0.00670576650309858
