,business_id,Alcohol,BikeParking,GoodForKids,NoiseLevel,RestaurantsGoodForGroups,RestaurantsReservations,WiFi,RestaurantsDelivery,BusinessParking,Add,Keep,Fix,Avoid,Positive_Negative_Percentage,name,address,city,latitude,longitude,stars,Review_Num,Average_Review_Star_Rating
0,ZkzutF0P_u0C0yTulwaHkA,0,1,1,1,1,1,0,0,0,beer meatball wine dessert mozzarella parmesan spinach lasagna gelato cocktail gnocchi pesto margherita ricotta margarita tiramisu cider zucchini donut balsamic turkey cannoli cauliflower hummus cooky savory carbonara truffle peanut grape sangria candy chipotle lemonade espresso pudding dumpling bourbon peach,pepperoni sausage pepper bacon gluten rib honey cheddar,mushroom lettuce cracker,shrimp spaghetti caesar noodle broccoli seasoning ketchup patty crouton fryer,"['pizza 23 3 2', 'food 8 2 0', 'sauce 11 0 1', 'service 7 0 3', 'crust 4 1 1', 'garlic 4 2 1', 'ice 11 0 3']",Lelulos Pizzeria,311 Unity Center Rd,Pittsburgh,40.4899958,-79.77928790000001,4.0,32,3.875
1,39lLJK_rrYY2NYomSsQdUA,0,0,1,1,0,0,0,0,0,pepperoni meatball wine sausage dessert bacon mozzarella gluten spinach lasagna gelato cocktail gnocchi pesto margherita ricotta margarita honey tiramisu cider zucchini donut balsamic turkey cannoli cauliflower hummus cooky savory carbonara truffle cheddar peanut grape sangria candy chipotle lemonade espresso pudding dumpling bourbon peach,beer pepper parmesan rib,cracker,mushroom shrimp spaghetti lettuce caesar noodle broccoli seasoning ketchup patty crouton fryer,['pizza 7 1 1'],Marco's Pizza,24335 Chagrin Blvd,Cleveland,41.4657893,-81.5063487,2.5,11,2.455
2,0y6alZmSLnPzmG5_kP5Quw,0,1,1,1,1,0,0,0,0,pepperoni meatball wine bacon mozzarella gluten spinach lasagna gelato cocktail gnocchi pesto margherita ricotta rib margarita honey tiramisu cider zucchini donut balsamic turkey cannoli cauliflower hummus cooky savory carbonara truffle cheddar peanut grape sangria candy chipotle lemonade espresso pudding dumpling bourbon peach,beer sausage pepper dessert parmesan,mushroom shrimp,spaghetti lettuce caesar noodle broccoli seasoning ketchup patty cracker crouton fryer,"['pizza 15 5 1', 'sauce 6 1 0', 'crust 4 1 1', 'price 6 2 0', 'dough 2 4 0', 'ice 6 3 0', 'wing 3 3 0', 'topping 3 3 0']",J J's Pizza,20542 Lorain Rd,Cleveland,41.4483412,-81.84764399999997,4.5,21,4.524
3,_Kp1IPTi17wBywYOd30raA,1,0,1,1,1,0,0,0,1,beer pepperoni wine sausage pepper dessert bacon mozzarella gluten parmesan spinach lasagna gelato cocktail gnocchi pesto margherita ricotta margarita honey tiramisu cider zucchini donut balsamic turkey cannoli cauliflower hummus cooky savory carbonara truffle cheddar peanut grape sangria candy chipotle lemonade espresso pudding dumpling bourbon peach,meatball rib,,mushroom shrimp spaghetti lettuce caesar noodle broccoli seasoning ketchup patty cracker crouton fryer,['pizza 6 2 1'],Pizza Hut,8609 University Blvd,Pittsburgh,40.507268,-80.22263199999998,2.0,15,2.267
4,crBw_Hq3gCkppirgjnIl4A,1,1,1,1,1,0,1,0,1,wine dessert bacon gluten parmesan lasagna gelato cocktail gnocchi pesto margherita ricotta rib honey tiramisu cider zucchini donut balsamic turkey cannoli cauliflower hummus cooky carbonara truffle cheddar peanut grape sangria candy chipotle espresso pudding dumpling bourbon peach,beer pepperoni meatball sausage pepper mozzarella spinach margarita savory lemonade,mushroom spaghetti lettuce caesar,shrimp noodle broccoli seasoning ketchup patty cracker crouton fryer,"['pizza 47 7 1', 'food 12 2 1', 'cheese 8 4 0', 'sauce 13 4 0', 'service 10 4 2', 'salad 7 2 0', 'crust 12 7 0', 'delivery 2 4 0', 'staff 7 0 1', 'bread 8 1 0', 'flavor 7 1 0', 'pie 6 5 1', 'pepperoni 3 3 0', 'meatball 4 2 0', 'sausage 6 2 0', 'garlic 6 1 0', 'meat 5 2 0', 'pepper 5 3 0', 'ice 24 2 4', 'spaghetti 7 2 1']",Famous Yeti's Pizza,971 N Page St,Madison,42.9265263,-89.222592,4.5,63,4.429
5,cPNolx5Ae2znDZNA7GG5BQ,0,0,1,0,0,0,0,0,1,beer pepperoni meatball wine sausage pepper dessert bacon mozzarella gluten spinach lasagna gelato cocktail gnocchi pesto margherita ricotta rib margarita honey tiramisu cider zucchini donut balsamic turkey cannoli cauliflower hummus cooky savory carbonara truffle cheddar peanut grape sangria candy chipotle lemonade espresso pudding dumpling bourbon peach,parmesan,caesar,mushroom shrimp spaghetti lettuce noodle broccoli seasoning ketchup patty cracker crouton fryer,[],Little Caesars Pizza,9315 State Rte 14,Cleveland,41.2390005,-81.34754720000002,3.5,5,3.4
6,7LzhLKAwS7PHUvaPIW833A,1,1,1,1,1,1,0,1,1,beer bacon gluten gelato cocktail gnocchi pesto margherita margarita honey tiramisu cider zucchini balsamic turkey cannoli hummus cooky savory truffle cheddar peanut grape sangria candy chipotle lemonade espresso pudding dumpling bourbon peach,pepperoni meatball wine sausage pepper dessert mozzarella parmesan spinach lasagna ricotta rib donut cauliflower carbonara,shrimp spaghetti lettuce noodle seasoning,mushroom caesar broccoli ketchup patty cracker crouton fryer,"['pizza 11 2 0', 'food 13 4 5', 'cheese 3 2 2', 'sauce 10 4 0', 'service 13 1 4', 'salad 4 8 2', 'restaurant 10 2 2', 'menu 4 3 0', 'staff 5 2 0', 'price 6 2 1', 'bread 7 3 2', 'dinner 2 4 2', 'meal 5 3 2', 'pasta 11 3 0', 'flavor 5 3 0', 'meatball 5 4 0', 'sausage 4 2 1', 'meat 7 4 0', 'pepper 3 3 1', 'kitchen 3 5 1', 'serve 3 3 0', 'ice 21 4 5']",Dominic's Santos,21467 Lorain Rd,Cleveland,41.4436519,-81.8581755,3.5,40,3.525
7,ijNQXC2cBhbkf6iB6D8OJw,1,1,1,1,1,1,1,0,1,wine sausage dessert gluten lasagna gelato cocktail gnocchi pesto margherita margarita honey tiramisu cider zucchini donut balsamic turkey cannoli cauliflower hummus cooky savory carbonara truffle peanut grape sangria candy chipotle lemonade espresso pudding dumpling bourbon peach,beer pepperoni meatball pepper bacon mozzarella parmesan spinach ricotta rib cheddar,mushroom shrimp lettuce broccoli,spaghetti caesar noodle seasoning ketchup patty cracker crouton fryer,"['pizza 30 12 5', 'food 14 6 4', 'cheese 6 10 3', 'service 10 2 5', 'crust 2 6 1', 'chicken 3 2 2', 'delivery 10 10 2', 'price 4 4 0', 'bread 2 4 1', 'flavor 5 3 1', 'pie 2 5 0', 'pepperoni 2 2 2', 'meat 3 2 1', 'pepper 3 3 2', 'steak 5 1 2', 'hoagie 3 5 1', 'serve 2 2 2', 'ice 19 9 6', 'tea 5 3 2', 'wing 4 2 1']",Genoa Pizza & Bar,111 Market St,Pittsburgh,40.4388711,-80.00385329999997,3.0,68,3.147
8,00J65e-ewht6GZ9fXZdP1w,1,0,1,0,1,0,0,0,0,beer meatball wine sausage dessert bacon mozzarella gluten parmesan spinach lasagna gelato cocktail gnocchi pesto margherita ricotta rib margarita honey tiramisu cider zucchini donut balsamic turkey cannoli cauliflower hummus cooky savory carbonara truffle cheddar peanut grape sangria candy chipotle lemonade espresso pudding dumpling bourbon peach,pepperoni pepper,,mushroom shrimp spaghetti lettuce caesar noodle broccoli seasoning ketchup patty cracker crouton fryer,['pizza 4 3 2'],Pizza Hut,5041 Abbe Rd,Cleveland,41.4253019,-82.0765245744,2.0,11,1.818
9,isao1F5FW5kvQl402UlJ3g,0,0,0,0,0,0,0,0,0,beer meatball wine sausage dessert bacon mozzarella gluten parmesan spinach lasagna gelato cocktail gnocchi pesto margherita ricotta rib margarita honey tiramisu cider zucchini donut balsamic turkey cannoli cauliflower hummus cooky savory carbonara truffle cheddar peanut grape sangria candy chipotle lemonade espresso pudding dumpling bourbon peach,pepperoni pepper,,mushroom shrimp spaghetti lettuce caesar noodle broccoli seasoning ketchup patty cracker crouton fryer,[],Little Caesars,125 Broad St,Cleveland,41.368042,-82.100909,3.0,4,2.75
