,0
0,good
1,great
2,best
3,ive
4,nice
5,delicious
6,little
7,fresh
8,italian
9,much
10,small
11,large
12,new
13,bad
14,special
15,many
16,last
17,hot
18,next
19,different
20,big
21,happy
22,busy
23,huge
24,overall
25,disappointed
26,local
27,open
28,extra
29,free
30,fantastic
31,old
32,wrong
33,full
34,red
35,high
36,hard
37,second
38,least
39,whole
40,white
41,ready
42,average
43,live
44,several
45,regular
46,olive
47,terrible
48,real
49,attentive
50,green
51,worst
52,able
53,reasonable
54,impressed
55,horrible
56,entire
57,expensive
58,authentic
59,solid
60,surprised
61,poor
62,easy
63,soft
64,prepared
65,available
66,short
67,main
68,generous
69,french
70,outstanding
71,traditional
72,empty
73,due
74,black
75,vegetarian
76,casual
77,incredible
78,personal
79,typical
80,young
81,classic
82,original
83,true
84,mixed
85,single
86,tiny
87,sicilian
88,low
89,total
90,limited
91,fabulous
92,comfortable
93,basic
94,arrive
95,heavy
96,normal
97,usual
98,negative
99,gross
100,worse
101,similar
102,third
103,pleased
104,undercooked
105,flat
106,smaller
107,daily
108,difficult
109,satisfied
110,recent
111,tough
112,affordable
113,likely
114,positive
115,larger
116,possible
117,actual
118,higher
119,clear
120,complete
121,exceptional
122,willing
123,wide
124,american
125,rich
126,popular
127,knowledgeable
128,ridiculous
129,professional
130,healthy
131,additional
132,previous
133,experienced
134,strong
135,general
136,extensive
137,enjoyable
138,quiet
139,creative
140,bigger
141,separate
142,particular
143,modern
144,impressive
145,certain
146,lucky
147,important
148,biggest
149,seasonal
150,older
151,courteous
152,major
153,edible
154,famous
155,various
156,upscale
157,hawaiian
158,inedible
159,nasty
160,corporate
161,interested
162,individual
163,serious
164,aware
165,inexpensive
166,unprofessional
167,lower
168,personable
169,potential
170,private
171,numerous
172,memorable
173,continued
174,impossible
175,weekly
176,romantic
177,safe
178,dead
179,crappy
180,overwhelmed
181,uncomfortable
182,unacceptable
183,final
184,apologetic
185,massive
186,rustic
187,spacious
188,iced
189,common
190,unbelievable
191,acceptable
192,greatest
193,specific
194,concerned
195,obvious
196,familiar
197,unlimited
198,advertised
199,former
200,humble
201,sloppy
202,gorgeous
203,skeptical
204,angry
205,enormous
206,federal
207,easier
208,golden
209,comparable
210,national
211,current
212,asian
213,younger
214,unable
215,worried
216,natural
217,stupid
218,delectable
219,necessary
220,scrumptious
221,industrial
222,upper
223,mexican
224,reliable
225,superior
226,unusual
227,ordinary
228,weak
229,unpleasant
230,uncooked
231,grand
232,pretentious
233,native
234,social
235,english
236,initial
237,nicest
238,tuscan
239,floppy
240,curious
241,underwhelmed
242,organic
243,inattentive
244,pathetic
245,eclectic
246,complex
247,greater
248,impeccable
249,miserable
250,rascal
251,southern
252,adventurous
253,adorable
254,outrageous
255,pecan
256,obnoxious
257,accepted
258,understandable
259,visible
260,bubble
261,unhappy
262,unexpected
263,equal
264,gracious
265,fourth
266,extraordinary
267,belgian
268,chic
269,gigantic
270,attractive
271,passable
272,eastern
273,chinese
274,commercial
275,central
276,swiss
277,substantial
278,indian
279,smallest
280,remarkable
281,tremendous
282,occasional
283,delighted
284,western
285,inventive
286,finest
287,irritated
288,nervous
289,slower
290,highest
291,horrendous
292,successful
293,significant
294,magical
295,addictive
296,excessive
297,guilty
298,related
299,dissatisfied
300,informative
301,urban
302,rid
303,latest
304,unimpressed
305,dietary
306,unremarkable
307,irish
308,atrocious
309,constant
310,knowledgable
311,enthusiastic
312,cultural
313,partial
314,european
315,domestic
316,acoustic
317,accessible
318,legendary
319,ultimate
320,russian
321,scramble
322,forgettable
323,questionable
324,exotic
325,fetalicious
326,responsible
327,underrated
328,alcoholic
329,upgraded
330,modest
331,unnecessary
332,northern
333,critical
334,glorious
335,polish
336,independent
337,aesthetic
338,hoppy
339,sharp
340,alive
341,direct
342,unpretentious
343,thoughtful
344,fewer
345,anxious
346,chaotic
347,energetic
348,mural
349,ginormous
350,false
351,arrogant
352,innovative
353,sugary
354,hilarious
355,military
356,appalled
357,italianamerican
358,unhealthy
359,offensive
360,formal
361,steady
362,largest
363,noticeable
364,uninspired
365,sophisticated
366,unreasonable
367,puppy
368,married
369,customizable
370,expansive
371,moroccan
372,naked
373,shareable
374,unbeatable
375,competitive
376,hospitable
377,loose
378,stumble
379,respectable
380,unapologetic
381,german
382,regional
383,forgive
384,longest
385,broad
386,inexperienced
387,youngest
388,artisanal
389,unorganized
390,sudden
391,unimpressive
392,fanatic
393,dangerous
394,adrian
395,unseasoned
396,hectic
397,newest
398,severe
399,scary
400,noteworthy
401,intrusive
402,senior
403,identical
404,foldable
405,united
406,infamous
407,detailed
408,luscious
409,unsanitary
410,unhelpful
411,conscious
412,sanitary
413,february
414,unlikely
415,favorable
416,retail
417,unsatisfied
418,notable
419,unfamiliar
420,jealous
421,inclined
422,same
423,other
424,few
425,most
