"","x"
"1",2
"2",4.5
"3",3.5
"4",3
"5",2
"6",3.5
"7",4.5
"8",4.5
"9",4.5
"10",4
"11",4
"12",3.5
"13",3.5
"14",4
"15",3
"16",3.5
"17",3
"18",3
"19",3.5
"20",4
"21",4
"22",3
"23",4
"24",4
"25",3.5
"26",3.5
"27",4.5
"28",3.5
"29",3.5
"30",4
"31",3.5
"32",3
"33",3
"34",3
"35",4
"36",3.5
"37",4
"38",3.5
"39",3.5
"40",3.5
"41",2.5
"42",3
"43",3.5
"44",2.5
"45",3
"46",2.5
"47",3.5
"48",4
"49",4
"50",3.5
"51",4
"52",3.5
"53",3
"54",3
"55",4
"56",4
"57",4
"58",3.5
"59",4
"60",4
"61",3.5
"62",3.5
"63",3
"64",4
"65",3
"66",4.5
"67",2.5
"68",4.5
"69",4
"70",4
"71",3.5
"72",3
"73",2
"74",4.5
"75",3
"76",2.5
"77",3.5
"78",3.5
"79",3.5
"80",3.5
"81",4
"82",4
"83",4
"84",3
"85",3.5
"86",3
"87",3
"88",3
"89",4
"90",3.5
"91",4
"92",4.5
"93",3.5
"94",3
"95",3
"96",3
"97",4.5
"98",3
"99",3.5
"100",3
"101",3.5
"102",3.5
"103",3.5
"104",3
"105",4
"106",4
"107",3.5
"108",3.5
"109",3
"110",3.5
"111",3.5
"112",3
"113",2.5
"114",4
"115",4.5
"116",4
"117",4
"118",3.5
"119",4
"120",3.5
"121",3
"122",3.5
"123",3.5
"124",3
"125",4
"126",5
"127",4
"128",4.5
"129",4
"130",4
"131",3.5
"132",3.5
"133",3
"134",4.5
"135",3.5
"136",4.5
"137",4
"138",4
"139",4
"140",4
"141",4
"142",3
"143",4
"144",3.5
"145",3
"146",4.5
"147",2.5
"148",3
"149",4
"150",3.5
"151",3.5
"152",3
"153",4.5
"154",4
"155",3.5
"156",3
"157",4
"158",3
"159",4
"160",4.5
"161",3
"162",4
"163",3.5
"164",3
"165",3.5
"166",3.5
"167",3.5
"168",3.5
"169",3.5
"170",2.5
"171",3.5
"172",3.5
"173",4
"174",3.5
"175",4
"176",3.5
"177",4.5
"178",4
"179",3.5
"180",2.5
"181",4
"182",3
"183",2.5
"184",4.5
"185",3.5
"186",4
"187",3.5
"188",3
"189",4
"190",4.5
"191",4.5
"192",3.5
"193",3
"194",4
"195",3
"196",3.5
"197",4
"198",3.5
"199",3
"200",1.5
"201",4.5
"202",3.5
"203",3
"204",4
"205",4
"206",3
"207",3.5
"208",3.5
"209",4
"210",3.5
"211",3.5
"212",3.5
"213",4.5
"214",4
"215",5
"216",3.5
"217",4
"218",3
"219",3
"220",3.5
"221",3.5
"222",4
"223",3
"224",3
"225",3.5
"226",3
"227",3.5
"228",4
"229",2.5
"230",4.5
"231",3
"232",3.5
"233",3
"234",3
"235",4
"236",3.5
"237",2.5
"238",3.5
"239",4
"240",3
"241",4
"242",3
"243",4
"244",4.5
"245",4
"246",3.5
"247",4
"248",3.5
"249",4
"250",3.5
"251",3.5
"252",4.5
"253",3.5
"254",3
"255",3.5
"256",3.5
"257",4
"258",3
"259",4
"260",4
"261",4.5
"262",3
"263",3.5
"264",2
"265",3
"266",3.5
"267",3.5
"268",3.5
"269",4
"270",4
"271",3.5
"272",3
"273",4
"274",3.5
"275",3.5
"276",3.5
"277",3.5
"278",4
"279",3.5
"280",3.5
"281",4
"282",4.5
"283",4
"284",3
"285",4
"286",3.5
"287",2
"288",3.5
"289",4
"290",3.5
"291",3
"292",4
"293",3.5
"294",3.5
"295",3
"296",3.5
"297",3
"298",4.5
"299",4
"300",3.5
"301",3.5
"302",4
"303",3.5
"304",4
"305",4
"306",2.5
"307",4
"308",4
"309",2
"310",4.5
"311",3
"312",3
"313",3
"314",4
"315",4.5
"316",4
"317",3
"318",4.5
"319",4
"320",3
"321",4
"322",3.5
"323",2.5
"324",4
"325",4.5
"326",4
"327",3.5
"328",4
"329",3.5
"330",3
"331",3
"332",4
"333",3
"334",4.5
"335",3.5
"336",4
"337",4
"338",4
"339",3.5
"340",3.5
"341",3.5
"342",3.5
"343",4
"344",3.5
"345",4.5
"346",2
"347",3.5
"348",2.5
"349",3
"350",3.5
"351",4
"352",3
"353",4
"354",3
"355",2.5
"356",3.5
"357",3.5
"358",2.5
"359",3.5
"360",4.5
"361",4
"362",3.5
"363",4
"364",5
"365",3.5
"366",3
"367",4
"368",3
"369",4
"370",4
"371",2
"372",3
"373",3.5
"374",3
"375",3
"376",4.5
"377",3.5
"378",3.5
"379",2
"380",2.5
"381",3.5
"382",3.5
"383",4
"384",4
"385",3
"386",4
"387",4
"388",3.5
"389",4
"390",4
"391",4
"392",4
"393",4
"394",4
"395",3.5
"396",4
"397",4
"398",4.5
"399",4
"400",4
"401",5
"402",3
"403",4.5
"404",4.5
"405",2.5
"406",2.5
"407",4
"408",3.5
"409",4
"410",3
"411",2.5
"412",4
"413",2.5
"414",3
"415",3.5
"416",4.5
"417",3
"418",3.5
"419",1.5
"420",3.5
"421",4.5
"422",3.5
"423",3.5
"424",4
"425",3.5
"426",4
"427",4
"428",3.5
"429",3.5
"430",5
"431",4
"432",3.5
"433",3.5
"434",4
"435",4
"436",3
"437",4
"438",3.5
"439",3.5
"440",2.5
"441",3.5
"442",3
"443",3
"444",2.5
"445",3.5
"446",3.5
"447",4
"448",4
"449",4
"450",4
"451",4.5
"452",3
"453",3.5
"454",3
"455",3
"456",4
"457",3
"458",3.5
"459",3
"460",4
"461",4.5
"462",3.5
"463",4
"464",3.5
"465",3.5
"466",3.5
"467",3.5
"468",2
"469",2.5
"470",3
"471",4.5
"472",3
"473",4.5
"474",3.5
"475",2.5
