"","x"
"1",4
"2",4.5
"3",4.5
"4",3.5
"5",3
"6",4
"7",4.5
"8",4.5
"9",4.5
"10",4
"11",3.5
"12",2
"13",4
"14",2
"15",3.5
"16",4
"17",3
"18",4.5
"19",3.5
"20",2.5
"21",3
"22",4
"23",3.5
"24",4
"25",3
"26",3.5
"27",4
"28",3.5
"29",4.5
"30",4
"31",3
"32",3.5
"33",4
"34",3
"35",3
"36",3.5
"37",3.5
"38",3.5
"39",3
"40",4
"41",2.5
"42",2.5
"43",4
"44",5
"45",3.5
"46",4
"47",4
"48",3.5
"49",3.5
"50",3.5
"51",4
"52",3
"53",4.5
"54",2.5
"55",3
"56",3
"57",4.5
"58",4
"59",3.5
"60",3
"61",3.5
"62",2
"63",4
"64",3.5
"65",4
"66",4.5
"67",4
"68",4
"69",3.5
"70",4
"71",3.5
"72",3.5
"73",3
"74",3
"75",4
"76",3.5
"77",4
"78",3.5
"79",4.5
"80",4
"81",3.5
"82",4.5
"83",4
"84",4
"85",3.5
"86",2
"87",4.5
"88",2.5
"89",4.5
"90",2.5
"91",3.5
"92",4
"93",3.5
"94",3
"95",3
"96",2.5
"97",3
"98",2.5
"99",3
"100",3.5
"101",3.5
"102",3.5
"103",3.5
"104",2.5
"105",4
"106",4
"107",3.5
"108",4
"109",4
"110",3
"111",3.5
"112",3
"113",3
"114",3
"115",2.5
"116",4
"117",4
"118",3
"119",3
"120",4
"121",4
"122",4
"123",3
"124",3.5
"125",4.5
"126",3.5
"127",4.5
"128",4
"129",4
"130",3
"131",4
"132",4.5
"133",3.5
"134",2
"135",4.5
"136",4
"137",3
"138",3.5
"139",3.5
"140",4
"141",3
"142",3.5
"143",3.5
"144",3
"145",3.5
"146",3.5
"147",4
"148",4
"149",3.5
"150",5
"151",4
"152",4
"153",4
"154",4
"155",3
"156",3.5
"157",3
"158",3.5
"159",3
"160",2.5
"161",4.5
"162",4
"163",3.5
"164",4
"165",4.5
"166",4.5
"167",2.5
"168",4
"169",4
"170",5
"171",2.5
"172",3
"173",3.5
"174",2.5
"175",3
"176",3
"177",3.5
"178",3
"179",4
"180",5
"181",4
"182",4.5
"183",3.5
"184",4
"185",3.5
"186",3.5
"187",2.5
"188",2
"189",4
"190",3
"191",3
"192",2
"193",3.5
"194",3.5
"195",4.5
"196",4
"197",4
"198",4
"199",4
"200",4
"201",3
"202",1.5
"203",4
"204",4.5
"205",4
"206",4
"207",4.5
"208",2.5
