"","x"
"1",4
"2",4.5
"3",2
"4",4
"5",2
"6",4.5
"7",4.5
"8",2.5
"9",3.5
"10",3
"11",4.5
"12",2.5
"13",4.5
"14",3.5
"15",2.5
"16",2.5
"17",2.5
"18",1
"19",3
"20",3.5
"21",3
"22",4
"23",2
"24",4
"25",4
"26",3
"27",4
"28",3
"29",2.5
"30",4
"31",3.5
"32",3.5
"33",4.5
"34",3
"35",4
"36",3
"37",2.5
"38",2
"39",3.5
"40",2.5
"41",2.5
"42",3.5
"43",3.5
"44",3.5
"45",4.5
"46",3.5
"47",3.5
"48",4
"49",3
"50",1.5
"51",3
"52",4.5
"53",4.5
"54",2
"55",2.5
"56",4.5
"57",3
"58",4.5
"59",3.5
"60",4
"61",4
"62",2
"63",2
"64",4.5
"65",4
"66",5
"67",2.5
"68",3
"69",3.5
"70",3.5
"71",4
"72",4
"73",3.5
"74",3
"75",3
"76",2.5
"77",4
"78",2.5
"79",4
"80",2.5
"81",3
"82",1.5
"83",2.5
"84",4
"85",3.5
"86",4
"87",3.5
"88",4
"89",2
"90",4.5
"91",3.5
"92",3
"93",4
"94",3
"95",4
"96",4
"97",2
"98",3.5
"99",3.5
"100",4
"101",3.5
"102",2.5
"103",3
"104",4
"105",4
"106",3
"107",3.5
"108",2
"109",4
"110",3.5
"111",3
"112",2.5
"113",2
"114",2.5
"115",3.5
"116",4.5
"117",2.5
"118",4
"119",1
"120",2
"121",5
"122",3
"123",2.5
"124",3
"125",2
"126",4
"127",3
"128",2.5
"129",5
"130",4
"131",3
"132",3.5
"133",3
"134",3
"135",3.5
"136",4.5
"137",3.5
"138",4
"139",2
"140",4
"141",1.5
"142",1.5
"143",3
"144",2.5
"145",3
"146",3
"147",4
"148",4
"149",3.5
"150",3
"151",3.5
"152",3.5
"153",3.5
"154",2
"155",3
"156",2.5
"157",4.5
"158",3.5
"159",2.5
"160",4.5
"161",3.5
"162",3
"163",3
"164",3
"165",4
"166",2.5
"167",3.5
"168",4
"169",4
"170",3.5
"171",4.5
"172",4
"173",1.5
"174",2
"175",3.5
"176",3.5
"177",2
"178",1
"179",3
"180",3.5
"181",4.5
"182",4
"183",4.5
"184",5
"185",4
"186",2
"187",3.5
"188",3.5
"189",3
"190",4.5
"191",4.5
"192",2.5
"193",3
"194",2.5
"195",1.5
"196",4
"197",2.5
"198",3.5
"199",1.5
"200",3.5
"201",4.5
"202",3
"203",2.5
"204",3
"205",2
