"","x"
"1",4
"2",2.5
"3",4.5
"4",2
"5",4.5
"6",3.5
"7",3.5
"8",3
"9",2
"10",4
"11",2
"12",3.5
"13",4
"14",4.5
"15",4.5
"16",1.5
"17",4
"18",4.5
"19",3
"20",4
"21",2.5
"22",4
"23",3.5
"24",2
"25",4
"26",3.5
"27",2
"28",3.5
"29",4
"30",3
"31",4.5
"32",3.5
"33",2.5
"34",3.5
"35",3
"36",3.5
"37",2.5
"38",2
"39",4
"40",4.5
"41",3
"42",3.5
"43",4
"44",2
"45",3.5
"46",4.5
"47",4
"48",3
"49",4
"50",3.5
"51",2
"52",4
"53",3.5
"54",3
"55",4
"56",4
"57",4.5
"58",3.5
"59",4
"60",4
"61",3.5
"62",3
"63",4
"64",3
"65",2.5
"66",2.5
"67",5
"68",3.5
"69",3.5
"70",4
"71",3.5
"72",3.5
"73",3.5
"74",3.5
"75",3.5
"76",4
"77",2.5
"78",3
"79",4.5
"80",3.5
"81",2.5
"82",3
"83",3
"84",2
"85",4.5
"86",3
"87",4
"88",3.5
"89",3.5
"90",3
"91",3.5
"92",2
"93",2.5
"94",4
"95",3.5
"96",3.5
"97",3
"98",2.5
"99",4
"100",3.5
"101",4.5
"102",4
"103",2.5
"104",2
"105",1.5
"106",4
"107",2.5
"108",4
"109",3.5
"110",4
"111",3.5
"112",1.5
"113",3.5
"114",4
"115",4
"116",3
"117",3
"118",4
"119",4
"120",3.5
"121",2
"122",4
"123",3.5
"124",4.5
"125",4
"126",3.5
"127",4
"128",3.5
"129",5
"130",3
"131",4.5
"132",4
"133",4
"134",3
"135",4
"136",3.5
"137",3.5
"138",2
"139",2.5
"140",4.5
"141",3
"142",4
"143",3
"144",4.5
"145",5
"146",2.5
"147",4.5
"148",3.5
"149",3.5
"150",4
"151",4
"152",4
"153",3
"154",2
"155",4.5
"156",3
"157",2.5
"158",3
"159",3
"160",3
"161",3.5
"162",3.5
"163",3.5
"164",3.5
"165",3.5
"166",4
"167",3.5
"168",3
"169",3.5
"170",4
"171",3.5
"172",3
"173",4
"174",2.5
"175",4
"176",2.5
"177",3.5
"178",4
"179",2.5
"180",3
"181",3
"182",4
"183",4
"184",2
"185",1.5
"186",3
"187",3.5
"188",4
"189",2.5
"190",3.5
"191",2.5
"192",3
"193",3.5
"194",4
"195",3.5
"196",4
"197",4.5
"198",4
"199",3
"200",4
"201",3
"202",3
"203",3
"204",4
"205",3
"206",4.5
"207",4
"208",3.5
"209",2
"210",4
"211",3
"212",3.5
"213",3
"214",4
"215",3.5
"216",2.5
"217",3.5
"218",4
"219",3
"220",3.5
"221",3.5
"222",2.5
"223",3.5
"224",3.5
"225",4
"226",4
"227",3.5
"228",3
"229",5
"230",1.5
"231",4
"232",3
"233",2
"234",4.5
"235",4
"236",4
"237",2
"238",4
"239",3
"240",3.5
"241",3.5
"242",3
"243",3.5
"244",3
"245",4
"246",3.5
"247",3
"248",2.5
"249",2
"250",2.5
"251",5
"252",2
"253",4.5
"254",3.5
"255",4
"256",4.5
"257",2.5
"258",4
"259",3.5
"260",4
"261",1
"262",2
"263",5
"264",3
"265",4
"266",2
"267",4
"268",3
"269",2.5
"270",3
"271",4.5
"272",3.5
"273",2.5
"274",3
"275",2.5
"276",3
"277",3.5
"278",4
"279",2.5
"280",3.5
"281",3
"282",3
"283",4
"284",3
"285",4
"286",4.5
"287",3.5
"288",4
"289",4
"290",3.5
"291",3
"292",3.5
"293",3.5
"294",2
"295",4
"296",3
"297",3
"298",3.5
"299",4.5
"300",3.5
"301",4.5
"302",2
"303",4
"304",4
"305",2
"306",2
"307",4
"308",4
"309",4
"310",4
"311",4
"312",1.5
"313",4
"314",4.5
"315",4
"316",3
"317",4
"318",4
"319",4.5
"320",2.5
"321",3
"322",4
"323",3
"324",3
"325",4.5
"326",4.5
"327",2.5
"328",3
"329",4.5
"330",4.5
"331",4
"332",4
"333",4
"334",3.5
"335",3.5
"336",3
"337",4
"338",3.5
"339",3.5
"340",3.5
"341",3
"342",2
"343",3.5
"344",4
"345",4
"346",3
"347",2.5
"348",4
"349",3.5
"350",2.5
"351",3
"352",4
"353",3
"354",3.5
"355",2.5
"356",4
"357",4.5
"358",1.5
"359",3
"360",3.5
"361",1.5
"362",4.5
"363",3
"364",5
"365",3.5
"366",3.5
"367",4
"368",3.5
"369",3.5
"370",2.5
"371",4
"372",3
"373",2.5
"374",3.5
"375",3.5
"376",4
"377",4
"378",4.5
"379",2.5
"380",3.5
"381",3.5
"382",4
"383",4
"384",3
"385",3
"386",3.5
"387",3.5
"388",3
"389",3.5
"390",4
"391",3.5
"392",2.5
"393",4
"394",4
"395",4
"396",3.5
"397",3.5
"398",4.5
"399",4
"400",2
"401",3.5
"402",2
"403",3
"404",2.5
"405",1
"406",4.5
"407",4
"408",3.5
"409",4
"410",1.5
"411",3
"412",2
"413",3.5
"414",4
"415",3
"416",4.5
"417",4.5
"418",3.5
"419",4
"420",4
"421",4.5
"422",3
"423",2
"424",3.5
"425",3.5
"426",3
"427",3
"428",4
"429",3.5
"430",2.5
"431",2
"432",3.5
"433",3
"434",3
"435",4
"436",2.5
"437",4
"438",4.5
"439",1.5
"440",4.5
"441",3
"442",4
"443",2.5
"444",4
"445",4
"446",3.5
"447",4
"448",3.5
"449",3.5
"450",3
"451",3
"452",3
"453",3.5
"454",4
"455",3
"456",2
"457",4
"458",3.5
"459",2.5
"460",3.5
"461",4
"462",4
"463",3
"464",3
"465",3
"466",2.5
"467",5
"468",3
"469",2.5
"470",3.5
"471",3
"472",4.5
"473",4
"474",4
"475",3
"476",4
"477",3
"478",2.5
"479",2.5
"480",5
"481",2.5
"482",3.5
"483",4
"484",4
"485",3.5
"486",3
"487",3
"488",3
"489",3.5
"490",3
"491",3
"492",3
"493",3
"494",3
"495",4
"496",2.5
"497",4.5
"498",4
"499",3.5
"500",3
"501",3.5
"502",4
"503",3
"504",3
"505",3
"506",3
"507",4
"508",2.5
"509",3.5
"510",2.5
"511",2
"512",2.5
"513",4
"514",2.5
"515",2
"516",3.5
"517",4
"518",3
"519",2.5
"520",3
"521",3.5
"522",3
"523",4.5
"524",3.5
"525",3.5
"526",3.5
"527",4
"528",2
"529",4
"530",3.5
"531",3.5
"532",3.5
"533",3
"534",4.5
"535",4.5
"536",3
"537",3
"538",3.5
"539",3.5
"540",2
"541",3.5
"542",3.5
"543",4.5
"544",3.5
"545",4
"546",2.5
"547",4
"548",3.5
"549",3.5
"550",2
"551",4
"552",4.5
"553",2.5
"554",4
"555",3.5
"556",4.5
"557",3.5
"558",3.5
"559",2
"560",4.5
"561",4.5
"562",4
"563",4.5
"564",3.5
"565",2.5
"566",3
"567",3.5
"568",4
"569",2
"570",3
"571",3.5
"572",3.5
"573",2.5
"574",3.5
"575",4
"576",3
"577",4
"578",4
"579",3.5
"580",3
"581",3.5
"582",3.5
"583",2
"584",3
"585",1
"586",4.5
"587",3.5
"588",4
"589",2.5
"590",4
"591",4.5
"592",4
"593",3.5
"594",3.5
"595",3
"596",4
"597",3
"598",4.5
"599",3.5
"600",3.5
"601",3
"602",3.5
"603",2
"604",2.5
"605",3
"606",4
"607",3.5
"608",3.5
"609",4
"610",3.5
"611",4
"612",4.5
"613",4
"614",2.5
"615",2.5
"616",4.5
"617",3.5
"618",4
"619",2.5
"620",3
"621",4
"622",3.5
"623",3
"624",3.5
"625",2.5
"626",2
"627",3
"628",4
"629",2
"630",4.5
"631",3.5
"632",3.5
"633",4
"634",2.5
"635",2
"636",2
"637",3
"638",3.5
"639",3.5
"640",3
"641",2.5
"642",4.5
"643",3
"644",4
"645",4
"646",3.5
"647",3.5
"648",3.5
"649",4.5
"650",3.5
"651",3
