"","Feature","Weight","Importance"
"1","worst",-0.647437,-0.647437
"2","advertise",-0.588695,-0.588695
"3","horrible",-0.494203,-0.494203
"4","unfriendly",-0.468956,-0.468956
"5","screwed",-0.466549,-0.466549
"6","existent",-0.461994,-0.461994
"7","sucks",-0.46011,-0.46011
"8","terrible",-0.459854,-0.459854
"9","lacks",-0.456093,-0.456093
"10","ill",-0.454989,-0.454989
"11","nasty",-0.452636,-0.452636
"12","smallest",-0.446276,-0.446276
"13","wont",-0.446262,-0.446262
"14","overrated",-0.4455,-0.4455
"15","rude",-0.442807,-0.442807
"16","pathetic",-0.431156,-0.431156
"17","regarding",-0.431085,-0.431085
"18","worse",-0.423673,-0.423673
"19","subpar",-0.417305,-0.417305
"20","unprofessional",-0.405368,-0.405368
"21","awful",-0.392062,-0.392062
"22","waste",-0.391625,-0.391625
"23","overpriced",-0.38974,-0.38974
"24","disappointing",-0.387978,-0.387978
"25","refused",-0.386886,-0.386886
"26","hr",-0.38109,-0.38109
"27","bare",-0.378366,-0.378366
"28","mediocre",-0.378353,-0.378353
"29","avoid",-0.378141,-0.378141
"30","superb",0.373172,0.373172
"31","underwhelming",-0.372194,-0.372194
"32","hardly",-0.368537,-0.368537
"33","cardboard",-0.36673,-0.36673
"34","disgusting",-0.362404,-0.362404
"35","flies",-0.361803,-0.361803
"36","snow",0.360817,0.360817
"37","tasteless",-0.358233,-0.358233
"38","allergic",-0.355849,-0.355849
"39","lousy",-0.354849,-0.354849
"40","ridiculous",-0.352908,-0.352908
"41","beats",0.352009,0.352009
"42","yuck",-0.350646,-0.350646
"43","shame",-0.349854,-0.349854
"44","sucked",-0.343701,-0.343701
"45","shit",-0.341345,-0.341345
"46","uncooked",-0.340274,-0.340274
"47","impeccable",0.33913,0.33913
"48","elsewhere",-0.339119,-0.339119
"49","impress",0.338009,0.338009
"50","inconsistent",-0.337818,-0.337818
"51","hassle",-0.337407,-0.337407
"52","concern",0.333469,0.333469
"53","refuse",-0.329977,-0.329977
"54","garbage",-0.329418,-0.329418
"55","sick",-0.329061,-0.329061
"56","skimpy",-0.328549,-0.328549
"57","trash",-0.326552,-0.326552
"58","clue",-0.323426,-0.323426
"59","disappointment",-0.323288,-0.323288
"60","yelled",-0.318322,-0.318322
"61","wasnt",-0.316084,-0.316084
"62","disappoint",0.315949,0.315949
"63","undercooked",-0.314797,-0.314797
"64","washington",-0.314077,-0.314077
"65","disappoints",0.313334,0.313334
"66","excellent",0.312717,0.312717
"67","needless",-0.312021,-0.312021
"68","inconvenience",-0.310093,-0.310093
"69","deliciousness",0.308677,0.308677
"70","amazing",0.306459,0.306459
"71","phenomenal",0.305989,0.305989
"72","guessing",-0.305797,-0.305797
"73","peach",0.303671,0.303671
"74","gloves",-0.301843,-0.301843
"75","poor",-0.301729,-0.301729
"76","risk",-0.299437,-0.299437
"77","department",-0.298032,-0.298032
"78","power",0.297465,0.297465
"79","bomb",0.296948,0.296948
"80","timely",0.296359,0.296359
"81","burnt",-0.29635,-0.29635
"82","barely",-0.292286,-0.292286
"83","throwing",-0.290287,-0.290287
"84","spilled",-0.289579,-0.289579
"85","ignored",-0.289157,-0.289157
"86","underwhelmed",-0.28644,-0.28644
"87","purchased",-0.284608,-0.284608
"88","downhill",-0.283277,-0.283277
"89","exceptional",0.28322,0.28322
"90","matters",0.283158,0.283158
"91","tone",0.282791,0.282791
"92","failed",-0.28194,-0.28194
"93","loudly",-0.281096,-0.281096
"94","watered",-0.280759,-0.280759
"95","frozen",-0.280669,-0.280669
"96","sooner",0.280523,0.280523
"97","unable",-0.279214,-0.279214
"98","answering",-0.279193,-0.279193
"99","luke",-0.27791,-0.27791
"100","inedible",-0.277811,-0.277811
"101","fantastic",0.277128,0.277128
"102","hire",-0.276183,-0.276183
"103","won't",-0.275769,-0.275769
"104","messed",-0.275596,-0.275596
"105","knocked",0.274686,0.274686
"106","unacceptable",-0.274645,-0.274645
"107","embarrassed",-0.274502,-0.274502
"108","bothered",-0.274288,-0.274288
"109","meh",-0.273187,-0.273187
"110","stale",-0.272673,-0.272673
"111","incredible",0.270526,0.270526
"112","understaffed",-0.268784,-0.268784
"113","twist",0.266498,0.266498
"114","layers",-0.266203,-0.266203
"115","best",0.265433,0.265433
"116","declined",-0.264963,-0.264963
"117","ugh",-0.264376,-0.264376
"118","wtf",-0.263874,-0.263874
"119","reasonably",0.263685,0.263685
"120","rocks",0.262703,0.262703
"121","gross",-0.261989,-0.261989
"122","thank",0.261751,0.261751
"123","microwaved",-0.261646,-0.261646
"124","timing",0.261471,0.261471
"125","hooked",0.260479,0.260479
"126","joke",-0.258534,-0.258534
"127","suspect",0.258093,0.258093
"128","overlook",0.257123,0.257123
"129","tart",-0.256884,-0.256884
"130","kicked",-0.256747,-0.256747
"131","caesars",-0.256266,-0.256266
"132","awesome",0.254008,0.254008
"133","chances",-0.253979,-0.253979
"134","bland",-0.252305,-0.252305
"135","blah",-0.251904,-0.251904
"136","fabulous",0.251903,0.251903
"137","message",0.251686,0.251686
"138","lied",-0.250676,-0.250676
"139","splitting",-0.250257,-0.250257
"140","filthy",-0.249995,-0.249995
"141","drawback",0.248937,0.248937
"142","photo",-0.248371,-0.248371
"143","zero",-0.248269,-0.248269
"144","raving",-0.246896,-0.246896
"145","lacking",-0.244533,-0.244533
"146","delighted",0.243882,0.243882
"147","passion",-0.243622,-0.243622
"148","outstanding",0.243588,0.243588
"149","worry",0.243374,0.243374
"150","rules",0.243259,0.243259
"151","screaming",-0.242752,-0.242752
"152","flavorless",-0.24246,-0.24246
"153","boot",0.242101,0.242101
"154","honor",-0.241997,-0.241997
"155","pepe",0.24095,0.24095
"156","sad",-0.240937,-0.240937
"157","speedy",0.240222,0.240222
"158","family's",0.240086,0.240086
"159","delicious",0.239775,0.239775
"160","threw",-0.239028,-0.239028
"161","remind",0.238007,0.238007
"162","packaged",0.235207,0.235207
"163","cookies",0.23515,0.23515
"164","decently",0.23479,0.23479
"165","period",0.233462,0.233462
"166","dream",0.23337,0.23337
"167","sparse",-0.231565,-0.231565
"168","smoking",-0.23137,-0.23137
"169","occupied",-0.231051,-0.231051
"170","should've",-0.231024,-0.231024
"171","nobody",-0.231003,-0.231003
"172","written",0.23087,0.23087
"173","notch",0.230597,0.230597
"174","perfection",0.230203,0.230203
"175","pleasure",0.230178,0.230178
"176","concert",0.228164,0.228164
"177","angel",0.227853,0.227853
"178","thinks",-0.22756,-0.22756
"179","presented",-0.226506,-0.226506
"180","miles",-0.226186,-0.226186
"181","remake",0.224916,0.224916
"182","dirty",-0.224889,-0.224889
"183","public",-0.224819,-0.224819
"184","indoor",0.224423,0.224423
"185","results",0.224116,0.224116
"186","king",0.223604,0.223604
"187","yorker",0.223067,0.223067
"188","alley",-0.223002,-0.223002
"189","forgot",-0.222773,-0.222773
"190","luck",-0.222602,-0.222602
"191","blew",0.222153,0.222153
"192","exceeded",0.221616,0.221616
"193","divine",0.221435,0.221435
"194","outrageous",-0.221166,-0.221166
"195","canceled",-0.220948,-0.220948
"196","toward",0.220625,0.220625
"197","pain",-0.219388,-0.219388
"198","soggy",-0.219085,-0.219085
"199","die",0.219062,0.219062
"200","firm",0.219032,0.219032
"201","slow",-0.219019,-0.219019
"202","foot",-0.218762,-0.218762
"203","skimp",0.218643,0.218643
"204","changing",-0.21837,-0.21837
"205","recall",0.218213,0.218213
"206","human",0.21699,0.21699
"207","payment",-0.216665,-0.216665
"208","reputation",-0.216518,-0.216518
"209","lost",-0.215642,-0.215642
"210","record",0.215531,0.215531
"211","cleanliness",-0.215079,-0.215079
"212","body",0.214977,0.214977
"213","weekly",0.214515,0.214515
"214","approach",0.21424,0.21424
"215","screw",-0.213934,-0.213934
"216","behavior",-0.213725,-0.213725
"217","horrendous",-0.213518,-0.213518
"218","skip",-0.212599,-0.212599
"219","acknowledge",-0.211999,-0.211999
"220","blocks",-0.211547,-0.211547
"221","finger",-0.21134,-0.21134
"222","freaking",0.210872,0.210872
"223","rain",0.21075,0.21075
"224","sorry",-0.209084,-0.209084
"225","edible",-0.2088,-0.2088
"226","cold",-0.208503,-0.208503
"227","beaten",-0.208491,-0.208491
"228","hair",-0.208343,-0.208343
"229","carrots",-0.207567,-0.207567
"230","purchase",-0.206691,-0.206691
"231","seasonings",0.206393,0.206393
"232","delish",0.20634,0.20634
"233","marks",0.205844,0.205844
"234","approached",-0.205132,-0.205132
"235","slid",-0.20476,-0.20476
"236","sigh",-0.204546,-0.204546
"237","initially",0.204514,0.204514
"238","holding",0.203967,0.203967
"239","earth",0.203926,0.203926
"240","hours",-0.203924,-0.203924
"241","suck",-0.203614,-0.203614
"242","spoiled",-0.203421,-0.203421
"243","rudely",-0.203347,-0.203347
"244","magical",0.203217,0.203217
"245","overwhelmed",-0.20318,-0.20318
"246","reach",-0.203095,-0.203095
"247","genuine",0.202891,0.202891
"248","pancetta",-0.202693,-0.202693
"249","cole",0.202456,0.202456
"250","wouldn't",-0.202398,-0.202398
"251","disorganized",-0.202247,-0.202247
"252","whim",0.202039,0.202039
"253","hearts",0.201566,0.201566
"254","personable",0.200612,0.200612
"255","groupon",-0.200446,-0.200446
"256","cars",-0.200415,-0.200415
"257","stay",-0.200345,-0.200345
"258","wonderful",0.199921,0.199921
"259","prep",0.199914,0.199914
"260","great",0.199311,0.199311
"261","nicest",0.198925,0.198925
"262","directly",0.198836,0.198836
"263","bike",-0.198205,-0.198205
"264","diced",0.197938,0.197938
"265","necessary",0.19739,0.19739
"266","learn",-0.196952,-0.196952
"267","final",0.196807,0.196807
"268","parmigiano",-0.196736,-0.196736
"269","legit",0.19647,0.19647
"270","unlike",0.196444,0.196444
"271","pinball",0.196205,0.196205
"272","pics",-0.19612,-0.19612
"273","towards",0.196022,0.196022
"274","tuscan",0.195961,0.195961
"275","cracker",-0.195944,-0.195944
"276","waitstaff",-0.195816,-0.195816
"277","supposedly",-0.195685,-0.195685
"278","disaster",0.195677,0.195677
"279","cleaned",-0.194922,-0.194922
"280","hype",-0.19456,-0.19456
"281","nostalgia",-0.194115,-0.194115
"282","kudos",0.19347,0.19347
"283","executed",0.193323,0.193323
"284","average",-0.19236,-0.19236
"285","disrespectful",-0.192084,-0.192084
"286","mahi",-0.192069,-0.192069
"287","fed",0.191356,0.191356
"288","cups",0.191335,0.191335
"289","passable",-0.1911,-0.1911
"290","terrific",0.190849,0.190849
"291","frustrating",-0.190695,-0.190695
"292","raw",-0.190484,-0.190484
"293","rough",0.190429,0.190429
"294","highly",0.190235,0.190235
"295","finest",0.189613,0.189613
"296","replaced",-0.18922,-0.18922
"297","decades",0.188868,0.188868
"298","path",0.188312,0.188312
"299","operated",0.187482,0.187482
"300","charged",-0.18723,-0.18723
"301","walks",0.187147,0.187147
"302","onto",0.187048,0.187048
"303","remains",-0.186878,-0.186878
"304","entertainment",0.186713,0.186713
"305","boiled",-0.186584,-0.186584
"306","worried",0.186347,0.186347
"307","greatly",0.186282,0.186282
"308","r",-0.186084,-0.186084
"309","stage",0.18608,0.18608
"310","imported",-0.186029,-0.186029
"311","child",-0.185697,-0.185697
"312","moment",0.185315,0.185315
