"","Feature","Gain","Cover","Frequency","Importance"
"1","delicious",0.0731025899042726,0.0166248881779891,0.0230298668585822,0.0731025899042726
"2","great",0.0725749412362149,0.0239449142473292,0.0237495501979129,0.0725749412362149
"3","not",0.0659839795438064,0.0189281200345281,0.0147535084562792,0.0659839795438064
"4","worst",0.045019512515616,0.0132062285052418,0.0068369917236416,0.045019512515616
"5","best",0.0435777713117724,0.0141730815348942,0.0100755667506297,0.0435777713117724
"6","rude",0.0365533138277618,0.0117600443232394,0.00539762504498021,0.0365533138277618
"7","amazing",0.0363046426937062,0.0136032056412551,0.00935588341129903,0.0363046426937062
"8","no",0.0346595647186391,0.00687584057314821,0.00467794170564951,0.0346595647186391
"9","terrible",0.0323164137480916,0.0130819776897559,0.00503778337531486,0.0323164137480916
"10","told",0.0296012095274712,0.00424363941807729,0.00251889168765743,0.0296012095274712
"11","horrible",0.0234258697581415,0.0112994277363859,0.00359841669665347,0.0234258697581415
"12","minutes",0.0233554013481387,0.00870162762611396,0.00539762504498021,0.0233554013481387
"13","was",0.0226715706148461,0.00880979483623936,0.0129543001079525,0.0226715706148461
"14","called",0.0219302702051994,0.00435150878365898,0.00179920834832674,0.0219302702051994
"15","excellent",0.0191166132219662,0.00990333107848467,0.00503778337531486,0.0191166132219662
"16","perfect",0.0166216561237945,0.00987170991609372,0.00755667506297229,0.0166216561237945
"17","favorite",0.0140593308022435,0.0102644675877377,0.00431810003598417,0.0140593308022435
"18","friendly",0.0131105082648586,0.00842051201760539,0.00395825836631882,0.0131105082648586
"19","good",0.0117500657604484,0.0054653977363914,0.0143936667866139,0.0117500657604484
"20","love",0.0117191895146559,0.0105863382579778,0.00395825836631882,0.0117191895146559
"21","but",0.0116982794194806,0.00681096010337588,0.0190716084922634,0.0116982794194806
"22","awesome",0.0099068980022584,0.0132268790602727,0.00395825836631882,0.0099068980022584
"23","definitely",0.00962443989009945,0.00801028079939689,0.00647715005397625,0.00962443989009945
"24","awful",0.00941117776104818,0.0115786569961176,0.00215905001799208,0.00941117776104818
"25","money",0.00899769325201526,0.00626659955898158,0.00107952500899604,0.00899769325201526
"26","asked",0.00859472873833663,0.00325539122203482,0.00431810003598417,0.00859472873833663
"27","poor",0.00816406418840167,0.0104981762730385,0.00179920834832674,0.00816406418840167
"28","fresh",0.00793562664579384,0.00841961848397425,0.00287873335732278,0.00793562664579384
"29","manager",0.00788034991756013,0.00365539644424248,0.00287873335732278,0.00788034991756013
"30","said",0.00739828689584041,0.00334529063347911,0.00143936667866139,0.00739828689584041
"31","mediocre",0.00710340787529888,0.0102964362354296,0.00359841669665347,0.00710340787529888
"32","fantastic",0.00647481705011485,0.0125481409859061,0.00251889168765743,0.00647481705011485
"33","bland",0.0064453300896478,0.0101459254593396,0.00359841669665347,0.0064453300896478
