,Word,Frequency,tf_idf
0,pizza,98236,0.015003279242335266
1,good,40352,0.011402641709181316
3,food,35068,0.010822118415869372
2,place,37016,0.01080525473878587
5,time,27434,0.010485858116706265
7,order,21401,0.010307541605962084
4,great,29869,0.010277004004627971
6,like,22265,0.00968945446558943
8,one,20728,0.00945511045845703
11,would,19830,0.009315540659530322
10,get,19869,0.009150777853386104
16,cheese,16251,0.008806583481301986
14,sauce,16660,0.008789665094484476
12,ordered,17633,0.008710459091411679
17,really,16040,0.008422522428941768
9,service,20093,0.008378253018080623
13,back,17540,0.00822419804378353
20,salad,13206,0.008117427141693362
15,go,16263,0.008015845550621811
18,also,14279,0.007699834212448705
23,restaurant,12756,0.007648691198701689
21,crust,12985,0.007572433637046914
22,got,12914,0.007567643177136272
19,best,13750,0.007288269456109213
26,always,11319,0.007025166382903315
25,nice,11547,0.006891014635240089
36,chicken,9583,0.006856985078649214
38,beer,9572,0.006847756017201282
37,bar,9580,0.0068067429236311275
27,love,11046,0.00677435786949047
39,table,9476,0.00674035562464879
24,delicious,11609,0.006727516803326021
40,minute,9191,0.006626062253486828
30,could,10488,0.006609143212104404
33,menu,10096,0.006544381716649703
29,well,10531,0.006521880555369419
28,try,10716,0.006509452266648025
32,little,10181,0.006476740758868435
31,even,10303,0.006448639704989004
34,make,9741,0.006229707864496697
35,never,9612,0.006220812328370532
44,came,8686,0.006049103104042827
41,come,8879,0.00592981366415585
45,fresh,8509,0.005845051657778131
42,first,8771,0.005840348694312577
47,night,8413,0.005829983584034373
49,wait,8198,0.0058050497306901296
52,italian,7780,0.0057760297758858575
43,definitely,8744,0.005734184024886981
54,drink,7683,0.0057323646523276825
61,said,7314,0.0056636385959964106
74,wing,6622,0.0056505048088856214
51,pretty,7914,0.005635207509322433
73,slice,6736,0.005576080953276821
65,delivery,7061,0.0055177042017585005
48,staff,8205,0.005515470080185011
50,price,7969,0.005490300280594153
46,friendly,8483,0.005490132228627468
53,much,7763,0.005472775366117933
55,people,7614,0.005469079797781647
64,topping,7149,0.005427495597759019
70,bread,6844,0.005397312249437576
60,two,7320,0.005392561004864113
57,made,7478,0.005364619629987944
56,better,7589,0.0053608851061636925
58,take,7398,0.00530582069028409
59,amazing,7376,0.005289691551816379
63,eat,7261,0.005244830551054962
62,went,7313,0.005237912918566933
66,thing,7027,0.005176711226937174
67,say,7021,0.00517300311691815
77,hour,6531,0.0051603097286434954
69,area,6924,0.005113507418075095
68,way,6940,0.005102440267739979
75,know,6586,0.005012325589467107
78,dinner,6502,0.005011139134467932
71,favorite,6808,0.005004017423636791
76,experience,6568,0.004961467210891781
80,meal,6249,0.0049431631101290825
72,ever,6752,0.004942529754015008
96,pasta,5814,0.0049395884997461715
94,server,5857,0.004867346373205166
87,friend,6033,0.004861766395608485
79,right,6395,0.004847398532795931
82,want,6204,0.004805527334951418
84,small,6096,0.004780152282931468
81,lot,6234,0.004777231676808423
83,still,6154,0.004749220791794682
85,think,6082,0.004718022300706509
89,taste,5996,0.004706003429840329
90,star,5924,0.004703019942238391
97,flavor,5767,0.004701390814797273
