,Word,Word1,Count1,Word2,Count2,Word3,Count3,Sum
0,pizza,bad,795,wrong,467,worst,451,2564
1,food,bad,553,terrible,246,wrong,221,2063
2,cheese,bad,96,wrong,56,disappointed,45,624
3,sauce,bad,109,wrong,65,die,57,663
4,service,terrible,602,bad,588,poor,485,2592
5,salad,wrong,60,bad,52,disappointed,39,458
6,restaurant,bad,105,worst,80,disappointed,67,788
7,crust,fired,85,bad,63,wrong,37,403
8,chicken,bad,47,wrong,44,die,38,354
9,beer,bad,61,limited,53,wrong,31,252
10,menu,limited,201,disappointed,82,wrong,77,581
11,delivery,wrong,74,bad,73,rude,69,587
12,staff,rude,185,bad,54,poor,41,573
13,price,bad,67,low,45,charged,42,331
14,bread,die,48,bad,40,crazy,32,273
15,dinner,bad,47,disappointed,43,rude,16,289
16,meal,bad,221,disappointed,37,wrong,34,447
17,pasta,bad,31,disappointed,24,wrong,22,189
18,server,rude,51,bad,42,wrong,26,381
19,flavor,bad,39,lack,38,disappointed,19,196
20,sandwich,wrong,31,bad,23,disappointed,19,166
21,lunch,bad,46,disappointed,29,limited,19,219
22,pie,bad,44,disappointed,25,fired,18,152
23,pepperoni,disappointed,25,wrong,22,bad,21,180
24,location,bad,70,terrible,32,unfortunately,26,335
25,meatball,die,10,disappointed,8,fired,6,75
26,waitress,rude,62,bad,50,wrong,35,396
27,wine,limited,28,bad,18,disappointed,18,138
28,burger,bad,17,disappointed,10,unfortunately,8,94
29,sausage,bad,12,die,11,disappointed,11,114
30,garlic,die,22,bad,19,crazy,13,135
31,meat,bad,19,wrong,14,disappointed,10,175
32,tomato,crushed,15,die,9,bad,9,82
33,appetizer,bad,12,wrong,12,disappointed,12,116
34,manager,rude,143,wrong,60,refused,34,559
35,style,fired,22,bad,15,wrong,11,118
36,mushroom,die,9,wrong,5,bad,5,45
37,pepper,crushed,42,wrong,5,bad,4,63
38,dough,fired,23,bad,23,lack,7,126
39,dessert,die,14,bad,10,forget,10,85
40,soup,wrong,19,bad,12,disappointed,11,85
41,steak,worst,17,bad,14,wrong,12,105
42,onion,bad,6,smothered,4,missing,3,53
43,bartender,rude,49,ignored,14,wrong,12,153
44,bacon,die,13,wrong,11,crazy,8,84
45,kitchen,dirty,21,wrong,20,bad,18,199
46,hoagie,bad,13,worst,10,wrong,10,110
47,fan,disappoint,9,disappointed,9,bad,6,246
48,parking,difficult,54,limited,43,pain,35,264
49,mozzarella,crushed,16,die,11,fired,11,78
50,employee,rude,27,bad,10,wrong,6,118
51,water,dirty,14,bad,8,charged,6,106
52,waiter,bad,23,wrong,16,rude,10,131
53,entree,disappointed,8,wrong,5,worst,3,34
54,oil,crushed,11,die,7,dirty,6,60
55,cream,die,8,disappointed,7,bad,7,45
56,serve,bad,18,refused,11,limited,8,116
57,shrimp,bad,8,missing,4,horrible,4,45
58,fish,bad,9,wrong,6,disappointing,6,52
59,parmesan,crushed,13,die,7,disappointed,6,50
60,spinach,wrong,8,disappointed,8,bad,6,34
61,beef,disappointed,9,disappointing,8,die,7,41
62,brunch,bloody,13,disappointed,10,bad,8,38
63,ice,bad,7,wrong,7,charged,7,57
64,chef,bad,9,poor,5,worse,5,57
65,breakfast,bloody,9,bad,8,wrong,5,33
66,cake,die,11,forget,5,awful,4,49
67,marinara,die,8,wrong,7,bad,5,50
68,pork,bad,7,smothered,5,disappointed,5,46
69,spaghetti,bad,8,disappointed,7,terrible,5,42
70,lettuce,bad,13,rotten,8,unfortunately,6,91
71,bbq,bad,9,smothered,5,unfortunately,5,39
72,music,bad,14,complaint,7,terrible,7,75
73,lasagna,disappointed,9,bad,9,die,8,40
74,gnocchi,die,11,disappointed,7,wrong,5,33
75,butter,die,8,bomb,5,bad,4,60
76,margherita,wrong,9,disappointed,8,fired,6,34
77,chocolate,death,11,die,9,bomb,5,36
78,coffee,bad,10,bloody,6,dirty,6,40
79,takeout,disappointed,6,bad,6,avoid,5,50
80,management,poor,49,rude,29,bad,21,193
81,building,wrong,8,difficult,6,bad,6,64
82,soda,charged,6,dirty,5,forget,4,43
83,attitude,bad,47,rude,26,poor,14,184
84,salt,missing,8,wrong,7,lack,5,55
85,seafood,disappointed,7,bad,6,die,4,32
86,caesar,bad,6,disappointed,3,complaint,3,39
87,grease,bad,16,bomb,4,low,3,70
88,cooking,fired,4,disappointed,4,wrong,3,57
89,fee,charged,24,bad,2,horrible,2,31
90,topping,missing,15,wrong,11,charged,11,97
91,dressing,wrong,18,missing,14,forget,12,128
92,olive,crushed,9,bad,6,die,4,45
93,serving,missing,4,rude,4,refused,4,67
