,Word,Word1,Count1,Word2,Count2,Word3,Count3,Sum
0,pizza,good,7977,best,5354,great,5263,27586
1,food,good,5324,great,4486,delicious,1395,16216
2,cheese,good,1245,like,983,fresh,602,6100
3,sauce,good,1569,like,1104,sweet,1098,7090
4,service,great,3694,good,3067,friendly,1924,10995
5,salad,good,879,fresh,559,great,464,3855
6,restaurant,great,635,like,557,good,557,4370
7,crust,good,1347,like,1026,great,796,6477
8,chicken,good,771,like,440,delicious,348,3518
9,beer,good,1073,great,1050,like,311,3514
10,menu,good,673,great,667,like,421,4066
11,delivery,good,342,great,280,friendly,267,2036
12,staff,friendly,2844,great,1017,nice,720,5588
13,price,good,646,great,517,worth,301,2096
14,bread,good,661,fresh,457,like,431,2993
15,dinner,great,437,good,303,nice,215,2408
16,meal,great,451,good,391,like,174,2406
17,pasta,good,473,like,289,great,268,2220
18,server,friendly,351,great,305,nice,248,2019
19,flavor,good,512,great,405,like,237,2154
20,sandwich,good,294,like,155,great,137,1312
21,lunch,great,448,good,348,nice,146,2018
22,pie,good,315,like,190,great,190,1618
23,pepperoni,good,377,like,223,great,180,1828
24,location,great,457,good,264,like,163,1801
25,meatball,good,144,delicious,77,great,71,668
26,waitress,friendly,276,nice,263,good,187,1432
27,wine,good,357,great,348,nice,192,1603
28,burger,good,235,great,115,best,100,845
29,sausage,good,263,like,179,great,149,1390
30,garlic,good,302,like,200,fresh,187,1537
31,meat,good,222,like,187,fresh,127,1158
32,tomato,fresh,213,like,144,good,132,916
33,appetizer,good,184,great,112,delicious,104,927
34,manager,like,107,good,66,care,66,579
35,style,like,260,good,244,great,158,1411
36,mushroom,good,91,delicious,54,like,51,537
37,pepper,good,70,like,58,fresh,56,453
38,dough,fresh,283,like,219,good,208,1307
39,dessert,good,122,delicious,67,great,59,777
40,soup,good,195,like,101,great,97,842
41,steak,good,192,like,111,great,95,813
42,onion,good,67,like,51,fresh,48,414
43,bartender,friendly,118,great,103,nice,79,652
44,bacon,good,146,like,91,delicious,84,823
45,kitchen,like,120,good,77,great,67,670
46,hoagie,good,199,best,82,like,62,678
47,fan,fan,1733,huge,348,good,101,1272
48,parking,easy,98,good,83,free,75,540
49,mozzarella,fresh,442,good,130,like,90,956
50,employee,like,34,good,21,friendly,18,147
51,water,like,139,good,64,nice,54,500
52,waiter,friendly,118,great,89,nice,88,628
53,entree,good,41,like,24,delicious,23,261
54,oil,fresh,142,good,129,like,116,738
55,cream,good,99,like,91,delicious,60,617
56,serve,good,87,like,72,great,61,557
57,shrimp,good,118,great,48,like,48,486
58,fish,good,115,great,62,like,61,454
59,parmesan,fresh,82,good,76,like,63,555
60,spinach,good,88,fresh,79,like,50,557
61,beef,good,66,like,63,delicious,44,437
62,brunch,great,87,good,70,delicious,31,462
63,ice,like,75,good,73,great,43,429
64,chef,like,54,great,53,good,46,418
65,breakfast,good,91,great,66,like,48,423
66,cake,good,59,like,41,delicious,36,353
67,marinara,good,107,like,74,delicious,53,495
68,pork,good,66,delicious,59,like,42,450
69,spaghetti,good,108,like,86,delicious,41,450
70,lettuce,fresh,96,good,85,like,62,358
71,bbq,good,93,like,52,delicious,45,474
72,music,great,140,good,138,nice,70,570
73,lasagna,good,89,like,54,best,40,402
74,gnocchi,good,73,delicious,48,like,45,392
75,butter,like,71,good,63,delicious,48,439
76,margherita,good,62,fresh,47,delicious,37,376
77,chocolate,good,53,delicious,42,like,39,352
78,coffee,good,71,great,57,like,45,320
79,takeout,great,57,good,45,definitely,22,265
80,management,good,41,care,38,like,35,249
81,building,like,49,great,46,nice,37,335
82,soda,good,32,like,31,free,23,175
83,attitude,like,35,great,31,good,31,169
84,salt,like,61,good,32,fresh,24,238
85,seafood,good,49,like,33,fresh,29,268
86,caesar,good,43,like,25,fresh,21,201
87,grease,like,65,good,34,top,29,213
88,cooking,like,92,good,34,great,20,219
89,fee,like,12,nice,8,good,8,70
90,topping,like,84,good,76,great,60,535
91,dressing,good,236,fresh,147,like,124,1090
92,olive,fresh,102,like,93,good,87,558
93,serving,good,53,like,52,great,36,408
