,Word
0,allergic
1,angry
2,annoyance
3,annoyed
4,annoying
5,anxious
6,appalled
7,argue
8,argued
9,arguing
10,arrogant
11,ashamed
12,attack
13,avoid
14,avoided
15,avoiding
16,awful
17,awkwardly
18,bad
19,badly
20,beaten
21,biased
22,bitch
23,bitter
24,blame
25,blamed
26,blind
27,bloody
28,bomb
29,bored
30,boring
31,bother
32,bothered
33,bothering
34,broke
35,broken
36,cancel
37,cancelled
38,chagrin
39,chaos
40,chaotic
41,charged
42,cheat
43,clueless
44,complain
45,complained
46,complaining
47,complaint
48,confused
49,confusing
50,confusion
51,crappy
52,crazy
53,crime
54,critical
55,criticism
56,crushed
57,cry
58,damn
59,dangerous
60,dead
61,death
62,deceiving
63,delay
64,delayed
65,denied
66,depressing
67,desperate
68,die
69,died
70,difficult
71,difficulty
72,dirt
73,dirty
74,disagree
75,disappeared
76,disappoint
77,disappointed
78,disappointing
79,disappointment
80,disappoints
81,disaster
82,disgusted
83,disgusting
84,dislike
85,disorganized
86,disrespect
87,dissatisfied
88,distracted
89,doubt
90,downside
91,drop
92,dull
93,dumb
94,embarrassed
95,embarrassing
96,error
97,fail
98,failed
99,fails
100,failure
101,fake
102,fallen
103,fault
104,fear
105,fired
106,fool
107,fooled
108,forced
109,forget
110,forgotten
111,freaking
112,frustrated
113,frustrating
114,frustration
115,fuck
116,guilty
117,harsh
118,hate
119,hated
120,hell
121,hesitant
122,hesitate
123,hesitation
124,hiding
125,horrendous
126,horrible
127,horribly
128,horrid
129,horrific
130,horror
131,hurt
132,idiot
133,ignorant
134,ignore
135,ignored
136,ignoring
137,ill
138,impatient
139,incompetent
140,inconvenience
141,inconvenient
142,insane
143,insult
144,insulting
145,irritated
146,jealous
147,jerk
148,killer
149,lack
150,lame
151,lazy
152,liar
153,lied
154,limited
155,loose
156,lose
157,losing
158,loss
159,lost
160,lousy
161,low
162,lower
163,lying
164,mad
165,messed
166,messy
167,miserable
168,misleading
169,missed
170,missing
171,mistake
172,nasty
173,negative
174,neglected
175,nervous
176,nonsense
177,obnoxious
178,offended
179,offensive
180,outrageous
181,pain
182,pathetic
183,petty
184,pissed
185,poisoning
186,poor
187,questionable
188,refuse
189,refused
190,regret
191,regretted
192,ridiculous
193,ridiculously
194,risk
195,rob
196,rotten
197,rude
198,rudely
199,rudeness
200,rudest
201,ruin
202,ruined
203,sad
204,sadly
205,scam
206,scared
207,scary
208,scream
209,screamed
210,screaming
211,screwed
212,severe
213,severely
214,shame
215,shit
216,shitty
217,shock
218,shocked
219,shoot
220,shortage
221,shy
222,sick
223,skeptical
224,smothered
225,snob
226,starving
227,steal
228,stingy
229,stink
230,stolen
231,strange
232,stressful
233,struggle
234,struggled
235,stupid
236,suck
237,sucked
238,sucker
239,suffer
240,terrible
241,terribly
242,threatening
243,tired
244,trouble
245,ugh
246,ugly
247,unacceptable
248,uncomfortable
249,unfortunate
250,unfortunately
251,unfriendly
252,unhappy
253,unhealthy
254,unimpressed
255,unimpressive
256,unpleasant
257,unprofessional
258,unsatisfied
259,upset
260,upsetting
261,violation
262,war
263,warned
264,warning
265,waste
266,wasted
267,wasting
268,weak
269,worn
270,worried
271,worry
272,worse
273,worst
274,wrong
275,wtf
