"","x"
"1",4
"2",2.5
"3",4.5
"4",2
"5",4.5
"6",3.5
"7",3
"8",3.5
"9",4
"10",4.5
"11",4.5
"12",4.5
"13",4
"14",2.5
"15",3.5
"16",2
"17",4
"18",3.5
"19",2
"20",3.5
"21",4
"22",3
"23",4.5
"24",3.5
"25",2.5
"26",3
"27",3
"28",3.5
"29",2.5
"30",4
"31",3.5
"32",4.5
"33",3
"34",3.5
"35",4
"36",3.5
"37",4.5
"38",3
"39",4
"40",3.5
"41",4
"42",3.5
"43",3
"44",3
"45",3.5
"46",4
"47",3.5
"48",4
"49",4
"50",3.5
"51",3
"52",3
"53",2.5
"54",5
"55",3.5
"56",3.5
"57",4
"58",3.5
"59",4
"60",3.5
"61",3.5
"62",3.5
"63",3.5
"64",3
"65",4.5
"66",3.5
"67",2.5
"68",3
"69",3
"70",4.5
"71",3
"72",4
"73",3.5
"74",3.5
"75",3
"76",3.5
"77",3
"78",4
"79",3.5
"80",2.5
"81",4
"82",3.5
"83",4.5
"84",2
"85",4
"86",2.5
"87",1.5
"88",4
"89",3.5
"90",4
"91",3.5
"92",3.5
"93",4
"94",3
"95",3
"96",4
"97",4
"98",3.5
"99",3.5
"100",4
"101",3.5
"102",4.5
"103",4
"104",3.5
"105",5
"106",3
"107",4.5
"108",4
"109",3
"110",4
"111",3.5
"112",3.5
"113",3
"114",4
"115",3
"116",2.5
"117",2.5
"118",4.5
"119",3.5
"120",4
"121",4
"122",4
"123",3.5
"124",3
"125",2
"126",3
"127",5
"128",2.5
"129",3
"130",2.5
"131",3
"132",3
"133",3.5
"134",3.5
"135",3.5
"136",3.5
"137",4
"138",4
"139",4
"140",4
"141",4
"142",3.5
"143",4
"144",2.5
"145",4
"146",2.5
"147",4
"148",2.5
"149",4
"150",4
"151",3.5
"152",4
"153",3.5
"154",3
"155",4
"156",3.5
"157",4
"158",3.5
"159",4
"160",4.5
"161",4
"162",3
"163",3
"164",4
"165",3
"166",4.5
"167",3.5
"168",2.5
"169",2
"170",4.5
"171",4
"172",3.5
"173",4
"174",3.5
"175",2.5
"176",3.5
"177",4
"178",3
"179",3.5
"180",3.5
"181",3.5
"182",3.5
"183",4
"184",5
"185",4
"186",3
"187",4
"188",4
"189",4
"190",3
"191",3.5
"192",3.5
"193",3.5
"194",3
"195",4
"196",3.5
"197",3
"198",2.5
"199",4.5
"200",3.5
"201",4
"202",4.5
"203",4.5
"204",2.5
"205",4
"206",4
"207",3.5
"208",4
"209",1
"210",2
"211",5
"212",3
"213",4
"214",3
"215",2.5
"216",3
"217",2.5
"218",3
"219",3
"220",3
"221",3.5
"222",3.5
"223",3.5
"224",3
"225",3
"226",4
"227",4.5
"228",3.5
"229",4
"230",4
"231",3.5
"232",3
"233",3.5
"234",3.5
"235",2
"236",4
"237",3
"238",3
"239",3.5
"240",4.5
"241",3.5
"242",4.5
"243",4
"244",4
"245",4
"246",4
"247",4
"248",4
"249",4
"250",3
"251",1.5
"252",4
"253",4
"254",4.5
"255",2.5
"256",3
"257",3.5
"258",4
"259",3
"260",3
"261",4.5
"262",4.5
"263",2.5
"264",3
"265",4.5
"266",4.5
"267",4
"268",4
"269",3.5
"270",3
"271",4
"272",3.5
"273",3.5
"274",3
"275",2
"276",3.5
"277",4
"278",4
"279",2.5
"280",3.5
"281",2.5
"282",3
"283",4
"284",3.5
"285",2.5
"286",4
"287",4.5
"288",4.5
"289",3
"290",4
"291",3
"292",3.5
"293",3
"294",5
"295",3.5
"296",2.5
"297",4
"298",3.5
"299",3.5
"300",2.5
"301",3.5
"302",3
"303",3.5
"304",3.5
"305",4
"306",4
"307",4
"308",2.5
"309",3.5
"310",3.5
"311",4
"312",3.5
"313",3.5
"314",3
"315",4
"316",3.5
"317",4
"318",4
"319",4
"320",4
"321",3.5
"322",4
"323",2
"324",2.5
"325",4
"326",3
"327",3
"328",3.5
"329",4
"330",3.5
"331",3
"332",3.5
"333",4
"334",3
"335",4.5
"336",4.5
"337",3.5
"338",3.5
"339",4
"340",4
"341",4.5
"342",3
"343",2
"344",3.5
"345",4
"346",3.5
"347",3.5
"348",4.5
"349",3.5
"350",3
"351",3
"352",1.5
"353",4
"354",4.5
"355",1.5
"356",3.5
"357",3
"358",4
"359",2.5
"360",4
"361",3
"362",4
"363",3.5
"364",3.5
"365",3
"366",3.5
"367",4
"368",4
"369",3.5
"370",3.5
"371",2.5
"372",3.5
"373",4.5
"374",4
"375",4
"376",3
"377",5
"378",3
"379",2.5
"380",3.5
"381",3
"382",4.5
"383",4
"384",4
"385",3
"386",2.5
"387",3.5
"388",3.5
"389",4
"390",4
"391",3
"392",3
"393",3
"394",3.5
"395",3
"396",3
"397",3
"398",4
"399",2.5
"400",4.5
"401",4
"402",3.5
"403",4
"404",3
"405",3
"406",3
"407",4
"408",2.5
"409",2.5
"410",2.5
"411",2
"412",4
"413",3
"414",2.5
"415",3
"416",4.5
"417",3.5
"418",3.5
"419",3.5
"420",4
"421",2
"422",3.5
"423",3.5
"424",3
"425",4.5
"426",3
"427",4
"428",3
"429",3
"430",3.5
"431",2
"432",4
"433",3.5
"434",4.5
"435",3.5
"436",4
"437",4
"438",3.5
"439",2
"440",4
"441",4.5
"442",2.5
"443",4
"444",3.5
"445",4.5
"446",3.5
"447",3.5
"448",4.5
"449",4.5
"450",3.5
"451",2.5
"452",3.5
"453",2.5
"454",4
"455",2
"456",3
"457",3.5
"458",3.5
"459",3.5
"460",4
"461",3.5
"462",3
"463",4
"464",4
"465",3.5
"466",4.5
"467",3
"468",3
"469",3.5
"470",3.5
"471",1
"472",3
"473",2.5
"474",3.5
"475",4
"476",3.5
"477",4
"478",4
"479",4.5
"480",4
"481",3.5
"482",4
"483",4.5
"484",3.5
"485",3
"486",3.5
"487",2.5
"488",4
"489",3.5
"490",3.5
"491",4
"492",3.5
"493",4
"494",4.5
"495",2.5
"496",4
"497",2.5
"498",3
"499",4
"500",3
"501",2.5
"502",2
"503",3
"504",4
"505",3.5
"506",2
"507",4.5
"508",2
"509",3.5
"510",3.5
"511",4
"512",2
"513",3
"514",3.5
"515",3.5
"516",3
"517",3
"518",4.5
"519",4
"520",4
"521",3.5
"522",3.5
"523",4.5
"524",3.5
"525",3
"526",3
"527",3.5
"528",3
"529",3
"530",4.5
"531",3.5
"532",4
"533",3.5
"534",4
"535",4
"536",4
"537",3.5
"538",4.5
"539",3
"540",2.5
"541",4.5
"542",3.5
"543",4.5
"544",3
"545",2
"546",4.5
"547",3
"548",3.5
"549",4.5
"550",3
"551",3
"552",3
"553",4
"554",4.5
"555",4
"556",4.5
"557",4.5
"558",4
"559",3.5
"560",4
"561",2.5
"562",4
"563",3
"564",4
"565",4.5
"566",3.5
"567",4.5
"568",4
"569",4
"570",3.5
"571",3
"572",4
"573",3.5
"574",3.5
"575",3
"576",3
"577",4.5
"578",4
"579",4.5
"580",4
"581",4.5
"582",3
"583",4
"584",4
"585",4
"586",4
"587",3
"588",3.5
"589",5
"590",3.5
"591",2.5
"592",3.5
"593",3.5
"594",4
"595",3
"596",3.5
"597",3.5
"598",3
"599",1.5
"600",5
"601",3
"602",4
"603",4
"604",3.5
"605",3
"606",3.5
"607",4
"608",2.5
"609",2
"610",4
"611",4
"612",3.5
"613",4
"614",3.5
"615",4.5
"616",4.5
"617",4.5
"618",3
"619",4.5
"620",2.5
"621",3
"622",3
"623",3.5
"624",3.5
"625",4.5
"626",3
"627",4
"628",4
"629",3
"630",4
"631",4.5
"632",4
"633",2.5
"634",3
"635",5
"636",3
"637",3.5
"638",3.5
"639",4
"640",4
"641",2.5
"642",3.5
"643",3.5
"644",4.5
"645",2.5
"646",3.5
"647",3
"648",4
"649",3
