,0
0,pizza
1,food
2,place
3,time
4,order
5,cheese
6,sauce
7,service
8,salad
9,restaurant
10,crust
11,chicken
12,beer
13,bar
14,love
15,table
16,minute
17,menu
18,try
19,night
20,wait
21,drink
22,slice
23,delivery
24,staff
25,price
26,people
27,bread
28,eat
29,thing
30,hour
31,area
32,way
33,dinner
34,favorite
35,experience
36,meal
37,pasta
38,server
39,friend
40,right
41,want
42,lot
43,think
44,taste
45,star
46,flavor
47,side
48,day
49,dish
50,sandwich
51,told
52,lunch
53,pie
54,pepperoni
55,customer
56,sure
57,bit
58,location
59,year
60,recommend
61,family
62,review
63,fry
64,meatball
65,everything
66,excellent
67,something
68,quality
69,option
70,home
71,half
72,waitress
73,wine
74,awesome
75,perfect
76,worth
77,tasty
78,thin
79,nothing
80,burger
81,visit
82,selection
83,pittsburgh
84,top
85,super
86,sausage
87,need
88,garlic
89,meat
90,tomato
91,appetizer
92,feel
93,work
94,call
95,manager
96,guy
97,look
98,cooked
99,owner
100,kid
101,style
102,spot
103,cold
104,ingredient
105,husband
106,house
107,mushroom
108,pepper
109,put
110,kind
111,sweet
112,check
113,thought
114,business
115,anything
116,portion
117,everyone
118,dough
119,left
120,party
121,town
122,room
123,decent
124,phone
125,wife
126,found
127,couple
128,tell
129,dessert
130,crispy
131,ask
132,quick
133,fast
134,pick
135,week
136,group
137,enjoy
138,soup
139,stop
140,choice
141,item
142,steak
143,size
144,ok
145,cleveland
146,onion
147,wonderful
148,amount
149,point
150,door
151,bartender
152,bite
153,piece
154,hand
155,plate
156,use
157,bacon
158,homemade
159,offer
160,game
161,money
162,person
163,glass
164,clean
165,deal
166,someone
167,sub
168,part
169,sat
170,shop
171,care
172,kitchen
173,madison
174,hoagie
175,fan
176,le
177,ate
178,parking
179,today
180,buffalo
181,fun
182,rude
183,street
184,return
185,reason
186,mozzarella
187,brought
188,employee
189,wish
190,sit
191,spicy
192,water
193,cool
194,bring
195,list
196,friday
197,saturday
198,potato
199,warm
200,end
201,cut
202,greasy
203,okay
204,store
205,online
206,pay
207,oh
208,waiter
209,name
210,deep
211,joint
212,entree
213,light
214,fine
215,veggie
216,problem
217,cheap
218,yes
219,chain
220,past
221,stick
222,line
223,front
224,driver
225,reservation
226,start
227,thick
228,tonight
229,oil
230,walk
231,patio
232,felt
233,mean
234,month
235,min
236,variety
237,deliver
238,cream
239,counter
240,plenty
241,issue
242,card
243,box
244,type
245,bland
246,roll
247,sunday
248,yelp
249,dry
250,heard
251,tip
252,course
253,ranch
254,space
255,fact
256,city
257,flavorful
258,simple
259,unique
260,serve
261,shrimp
262,seem
263,anyone
264,weekend
265,neighborhood
266,vegan
267,bottle
268,bill
269,chicago
270,complaint
271,drive
272,change
273,fish
274,girl
275,seat
276,gluten
277,parmesan
278,guess
279,soggy
280,spinach
281,establishment
282,beef
283,hungry
284,cook
285,egg
286,floor
287,saw
288,yummy
289,downtown
290,decor
291,calzone
292,hit
293,burnt
294,life
295,stuffed
296,medium
