,0
0,pizza
1,food
2,cheese
3,sauce
4,service
5,salad
6,restaurant
7,crust
8,chicken
9,beer
10,menu
11,delivery
12,staff
13,price
14,bread
15,dinner
16,meal
17,pasta
18,server
19,flavor
20,sandwich
21,lunch
22,pie
23,pepperoni
24,location
25,fry
26,meatball
27,waitress
28,wine
29,burger
30,sausage
31,garlic
32,meat
33,tomato
34,appetizer
35,manager
36,style
37,mushroom
38,pepper
39,dough
40,dessert
41,soup
42,steak
43,onion
44,bartender
45,bacon
46,kitchen
47,hoagie
48,fan
49,parking
50,mozzarella
51,employee
52,water
53,potato
54,waiter
55,entree
56,oil
57,cream
58,serve
59,shrimp
60,fish
61,gluten
62,parmesan
63,spinach
64,beef
65,egg
66,brunch
67,ice
68,chef
69,breadstick
70,breakfast
71,cake
72,marinara
73,pork
74,spaghetti
75,lettuce
76,bbq
77,music
78,lasagna
79,gelato
80,cocktail
81,eggplant
82,gnocchi
83,butter
84,ravioli
85,taco
86,pesto
87,margherita
88,chocolate
89,coffee
90,takeout
91,management
92,building
93,tv
94,ricotta
95,soda
96,rib
97,calamari
98,attitude
99,crunchy
100,arugula
101,vegetable
102,salmon
103,salt
104,artichoke
105,margarita
106,seafood
107,byob
108,crab
109,prosciutto
110,caesar
111,veal
112,bean
113,grease
114,creamy
115,lemon
116,honey
117,spice
118,noodle
119,buffet
120,worker
121,bun
122,tiramisu
123,doughy
124,panini
125,lobster
126,cider
127,cooking
128,diner
129,environment
130,zucchini
131,tea
132,donut
133,broccoli
134,feta
135,ale
136,balsamic
137,ham
138,turkey
139,risotto
140,napkin
141,pretzel
142,beverage
143,recipe
144,penne
145,cheesecake
146,lamb
147,toast
148,provolone
149,fee
150,pickle
151,fat
152,apple
153,chili
154,vodka
155,cannoli
156,caprese
157,pita
158,flatbread
159,cherry
160,cafe
161,marsala
162,sugar
163,snack
164,cauliflower
165,scallop
166,cookie
167,wing
168,topping
169,dressing
170,olive
171,serving
172,seasoning
173,hummus
174,pineapple
175,corn
176,cooky
177,ketchup
178,beet
179,savory
180,iceberg
181,carbonara
182,tuna
183,truffle
184,cucumber
185,cuisine
186,mustard
187,cheddar
188,cinnamon
189,vinaigrette
190,peanut
191,coke
192,rigatoni
193,fig
194,pancake
195,orange
196,juice
197,antipasto
198,strawberry
199,patty
200,cheeseburger
201,wheat
202,curd
203,salami
204,salsa
205,breast
206,diet
207,slaw
208,avocado
209,fettuccine
210,cracker
211,carrot
212,gorgonzola
213,anchovy
214,jam
215,grape
216,asparagus
217,liquor
218,pistachio
219,tater
220,sangria
221,leg
222,walnut
223,candy
224,jalapeno
225,rosemary
226,duck
227,falafel
228,brisket
229,bisque
230,polenta
231,pastry
232,oregano
233,milk
234,coleslaw
235,loaf
236,pumpkin
237,almond
238,hamburger
239,flour
240,chorizo
241,martini
242,ginger
243,broth
244,reuben
245,linguine
246,chipotle
247,kale
248,brownie
249,crouton
250,sushi
251,blueberry
252,ziti
253,lemonade
254,whiskey
255,espresso
256,blt
257,pudding
258,pear
259,macaroni
260,barbecue
261,bleu
262,dumpling
263,vanilla
264,bourbon
265,tortilla
266,syrup
267,filet
268,aioli
269,supper
270,raspberry
271,tortellini
272,cole
273,biscuit
274,condiment
275,cod
276,pepsi
277,cranberry
278,linguini
279,fennel
280,fryer
281,pea
282,coconut
283,mixture
284,peach
285,manicotti
286,romaine
