Index,En,Ch,Check
1,pizza,比萨,1
2,food,餐饮,1
3,place,地点,0
4,time,时间,0
5,order,订购,0
6,cheese,起司,1
7,sauce,酱,1
8,service,服务,1
9,salad,沙拉,1
10,restaurant,餐厅,1
11,crust,脆皮,1
12,chicken,鸡,1
13,beer,啤酒,1
14,bar,酒吧,0
15,ha,哈,0
16,love,爱,0
17,table,表,0
18,minute,分钟,0
19,menu,菜单,1
20,try,尝试,0
21,night,晚,0
22,wait,等待,0
23,drink,喝,0
24,slice,片,0
25,delivery,交货,1
26,staff,员工,1
27,price,价钱,1
28,people,人,0
29,bread,面包,1
30,eat,吃,0
31,thing,事情,0
32,hour,小时,0
33,area,区,0
34,way,方式,0
35,dinner,晚餐,1
36,favorite,喜爱,0
37,experience,经验,0
38,meal,膳食,1
39,pasta,意大利面,1
40,server,服务器,1
41,friend,朋友,0
42,right,对,0
43,want,想,0
44,lot,批量,0
45,think,认为,0
46,taste,味道,0
47,star,星,0
48,flavor,味道,1
49,side,侧,0
50,day,天,0
51,dish,碟,0
52,sandwich,三明治,1
53,told,告诉,0
54,lunch,午餐,1
55,pie,馅饼,1
56,pepperoni,意大利辣味香肠,1
57,customer,顾客,0
58,sure,当然,0
59,bit,位,0
60,location,位置,1
61,year,年,0
62,recommend,推荐,0
63,family,家庭,0
64,review,评论,0
65,fry,炒,1
66,meatball,肉丸,1
67,everything,一切,0
68,excellent,优秀,0
69,something,某物,0
70,quality,质量,0
71,option,选项,0
72,home,家,0
73,half,半,0
74,waitress,小姐,1
75,wine,葡萄酒,1
76,awesome,真棒,0
77,perfect,完善,0
78,worth,价值,0
79,tasty,可口,0
80,thin,瘦,0
81,nothing,没有,0
82,burger,汉堡包,1
83,visit,访问,0
84,selection,选择,0
85,pittsburgh,匹兹堡,0
86,top,最佳,0
87,super,超,0
88,sausage,香肠,1
89,doe,母鹿,0
90,need,需要,0
91,garlic,大蒜,1
92,meat,肉,1
93,tomato,番茄,1
94,appetizer,开胃菜,1
95,feel,感觉,0
96,work,工作,0
97,call,呼叫,0
98,manager,经理,1
99,guy,家伙,0
100,look,看,0
101,cooked,熟,0
102,owner,所有者,0
103,kid,孩子,0
104,style,风格,1
105,spot,点,0
106,cold,冷,0
107,ingredient,成分,0
108,husband,丈夫,0
109,house,屋,0
110,mushroom,蘑菇,1
111,pepper,胡椒,1
112,put,放,0
113,kind,类,0
114,sweet,甜,
115,check,查,0
116,thought,思想,0
117,business,商业,0
118,anything,什么,0
119,portion,一部分,0
120,everyone,大家,0
121,dough,面团,1
122,left,剩下,0
123,party,派对,0
124,town,镇,0
125,room,房间,0
126,decent,正经,0
127,phone,电话,0
128,wife,妻子,0
129,found,发现,0
130,couple,一对,0
131,tell,告诉,0
132,dessert,甜点,1
133,crispy,香脆,0
134,ask,问,0
135,quick,快,0
136,fast,快速,0
137,pick,挑,0
138,week,周,0
139,group,组,0
140,enjoy,请享用,0
141,soup,汤,1
142,stop,停,0
143,choice,选择,0
144,item,项目,0
145,steak,牛扒,1
146,size,尺寸,0
147,ok,好,0
148,cleveland,克利夫兰,0
149,onion,洋葱,1
150,wonderful,精彩,0
151,amount,量,0
152,point,点,0
153,door,门,0
154,bartender,酒保,1
155,bite,咬,0
156,piece,片,0
157,hand,手,0
158,plate,盘子,0
159,use,使用,0
160,bacon,培根,1
161,homemade,自制,0
162,offer,提供,0
163,game,游戏,0
164,money,钱,0
165,person,人,0
166,glass,玻璃,0
167,clean,清洁,0
168,deal,合同,0
169,someone,有人,0
170,sub,子,0
171,part,部分,0
172,sat,SAT,0
173,shop,店,0
174,care,关心,0
175,kitchen,厨房,1
176,madison,麦迪逊,0
177,hoagie,潜艇堡,1
178,fan,风扇,1
179,le,乐,0
180,ate,吃,0
181,parking,停车处,1
182,today,今天,0
183,buffalo,水牛,0
184,fun,开玩笑,0
185,rude,无礼,0
186,street,街,0
187,return,返回,0
188,reason,原因,0
189,mozzarella,奶酪,1
190,brought,带,0
191,employee,雇员,1
192,wish,希望,0
193,sit,坐,0
194,spicy,辣,0
195,water,水,1
196,cool,凉,0
197,bring,带来,0
198,list,名单,0
199,friday,星期五,0
200,saturday,星期六,0
201,potato,土豆,1
202,warm,暖,0
203,end,结束,0
204,cut,切,0
205,greasy,腻,0
206,okay,好的,0
207,store,商店,0
208,online,线上,0
209,pay,工资,0
210,oh,哦,0
211,waiter,服务员,1
212,name,名称,0
213,deep,深,0
214,joint,联合,0
215,entree,主菜,1
216,light,光,0
217,fine,精细,0
218,veggie,素食主义者,0
219,problem,问题,0
220,cheap,贱,0
221,yes,是,0
222,chain,链,0
223,past,过去,0
224,stick,棒,0
225,line,线,0
226,front,面前,0
227,driver,司机,0
228,reservation,保留,0
229,start,开始,0
230,thick,厚,0
231,tonight,今晚,0
232,oil,油,1
233,walk,步行,0
234,patio,庭院,0
235,felt,毡,0
236,mean,意思,0
237,month,月,0
238,min,分,0
239,variety,品种,0
240,deliver,交付,0
241,cream,奶油,1
242,counter,计数器,0
243,plenty,丰富,0
244,issue,问题,0
245,card,卡,0
246,box,框,0
247,type,类型,0
248,bland,平淡,0
249,roll,滚,0
250,sunday,星期日,0
251,yelp,喊叫,0
252,dry,干燥,0
253,heard,赫德,0
254,tip,小费,0
255,course,课程,0
256,ranch,牧场,0
257,space,空间,0
258,fact,事实,0
259,city,市,0
260,flavorful,美味,0
261,simple,简单,0
262,unique,独特,0
263,serve,服务,1
264,shrimp,虾,1
265,seem,似乎,0
266,anyone,任何人,0
267,weekend,周末,0
268,neighborhood,邻里,0
269,vegan,素食主义者,0
270,bottle,瓶子,0
271,bill,法案,0
272,chicago,芝加哥,0
273,complaint,抱怨,0
274,drive,驾驶,0
275,change,更改,0
276,fish,鱼,1
277,girl,女孩,0
278,seat,座位,0
279,gluten,麸质,1
280,parmesan,巴马,1
281,guess,猜测,0
282,soggy,浸水,0
283,spinach,菠菜,1
284,establishment,编制,0
285,beef,牛肉,1
286,hungry,饥饿,0
287,cook,厨师,0
288,egg,蛋,1
289,floor,地板,0
290,saw,锯,0
291,yummy,好吃,0
292,downtown,市中心,0
293,decor,装饰,0
294,calzone,Calzone的,0
295,hit,击中,0
296,burnt,烧,0
297,life,生活,0
298,stuffed,填充的,0
299,medium,中,0
300,coupon,优惠券,0
301,show,节目,0
302,job,工作,0
303,date,日期,0
304,brunch,早午餐,1
305,others,其他,0
306,specialty,专业,0
307,trip,旅,0
308,choose,选择,0
309,ice,冰,1
310,boyfriend,男朋友,0
311,mind,心神,0
312,glad,高兴,0
313,chef,厨师,1
314,hope,希望,0
315,helpful,有帮助,0
316,breadstick,面包棒,1
317,please,请,0
318,breakfast,早餐,1
319,plain,川,0
320,cake,蛋糕,1
321,split,分裂,0
322,hostess,女主人,0
