"","x"
"1",4
"2",2.5
"3",4.5
"4",2
"5",4.5
"6",3.5
"7",3
"8",2
"9",3
"10",4
"11",2
"12",2
"13",3.5
"14",4
"15",4.5
"16",1.5
"17",3
"18",4
"19",2.5
"20",3.5
"21",2
"22",4
"23",3.5
"24",3
"25",2
"26",3.5
"27",4
"28",2.5
"29",4
"30",3.5
"31",3
"32",3
"33",2.5
"34",2
"35",4
"36",3
"37",4
"38",2.5
"39",2
"40",2.5
"41",3.5
"42",4.5
"43",4
"44",2.5
"45",1
"46",3
"47",3.5
"48",2
"49",4
"50",3.5
"51",3
"52",3
"53",3.5
"54",4.5
"55",4
"56",2
"57",4
"58",4.5
"59",3.5
"60",4
"61",3.5
"62",3
"63",4
"64",3
"65",4
"66",3
"67",2.5
"68",2.5
"69",3.5
"70",4
"71",3.5
"72",3.5
"73",3.5
"74",2.5
"75",4
"76",2.5
"77",3
"78",3.5
"79",2.5
"80",3
"81",3
"82",2
"83",4.5
"84",3
"85",4
"86",3.5
"87",3
"88",3.5
"89",3
"90",2
"91",2
"92",3.5
"93",4
"94",3.5
"95",3
"96",2.5
"97",3.5
"98",2
"99",1.5
"100",2.5
"101",3
"102",2
"103",2.5
"104",4
"105",1.5
"106",3.5
"107",4
"108",3
"109",4
"110",4
"111",3.5
"112",2
"113",3.5
"114",3.5
"115",4
"116",3.5
"117",4
"118",3.5
"119",3.5
"120",4
"121",3
"122",4.5
"123",4
"124",3
"125",4
"126",4
"127",3.5
"128",2
"129",2.5
"130",1.5
"131",3
"132",4
"133",3
"134",2.5
"135",5
"136",2.5
"137",3.5
"138",4
"139",4
"140",3
"141",3
"142",2
"143",4.5
"144",4
"145",2.5
"146",3
"147",1
"148",3
"149",3
"150",3.5
"151",3.5
"152",3.5
"153",4
"154",3.5
"155",3
"156",1.5
"157",3.5
"158",4
"159",3.5
"160",4
"161",3
"162",3
"163",3
"164",2.5
"165",1.5
"166",2.5
"167",4
"168",2.5
"169",3.5
"170",2.5
"171",3
"172",3
"173",4
"174",2
"175",1.5
"176",1.5
"177",3
"178",3
"179",3
"180",2.5
"181",3.5
"182",2.5
"183",3
"184",4.5
"185",4
"186",3.5
"187",3
"188",4
"189",2
"190",4
"191",4
"192",2
"193",3
"194",3
"195",2.5
"196",4
"197",3
"198",4.5
"199",4
"200",3.5
"201",2.5
"202",4
"203",2
"204",4
"205",3
"206",3.5
"207",3
"208",4
"209",3.5
"210",3.5
"211",4
"212",4
"213",3
"214",3.5
"215",4.5
"216",3.5
"217",3
"218",3.5
"219",3.5
"220",3
"221",3
"222",4
"223",4
"224",2.5
"225",3.5
"226",2
"227",3
"228",1.5
"229",3.5
"230",3
"231",2
"232",1.5
"233",4
"234",2
"235",3
"236",3.5
"237",3
"238",3.5
"239",3
"240",2
"241",3.5
"242",3
"243",2.5
"244",2
"245",2.5
"246",2
"247",3.5
"248",4
"249",4.5
"250",2.5
"251",2.5
"252",4
"253",1
"254",2
"255",4
"256",3
"257",4
"258",2
"259",4
"260",3
"261",3.5
"262",2.5
"263",2.5
"264",3
"265",4.5
"266",3.5
"267",1.5
"268",2.5
"269",3
"270",3
"271",3
"272",3
"273",3.5
"274",2.5
"275",3.5
"276",3
"277",3
"278",3
"279",4.5
"280",3.5
"281",3
"282",3.5
"283",2.5
"284",2
"285",4
"286",3
"287",2
"288",3.5
"289",3.5
"290",2.5
"291",4.5
"292",2
"293",4
"294",2
"295",2
"296",4
"297",5
"298",4
"299",4
"300",1.5
"301",4
"302",4.5
"303",3
"304",4
"305",4
"306",2.5
"307",3
"308",4
"309",3
"310",3
"311",4.5
"312",3
"313",2.5
"314",4.5
"315",3
"316",4
"317",4
"318",3.5
"319",3
"320",1
"321",3.5
"322",3.5
"323",3.5
"324",2
"325",3
"326",4.5
"327",2
"328",3.5
"329",4
"330",3
"331",2.5
"332",4
"333",3.5
"334",3
"335",4
"336",3.5
"337",2.5
"338",4.5
"339",4.5
"340",1.5
"341",3
"342",4
"343",3.5
"344",2.5
"345",1.5
"346",4.5
"347",3.5
"348",3.5
"349",2.5
"350",3.5
"351",3.5
"352",3.5
"353",2.5
"354",2.5
"355",3.5
"356",3
"357",4.5
"358",5
"359",3
"360",2.5
"361",4
"362",4
"363",4
"364",4.5
"365",4
"366",2.5
"367",4
"368",3.5
"369",3.5
"370",4
"371",1.5
"372",3
"373",3
"374",3.5
"375",3.5
"376",3.5
"377",4
"378",2.5
"379",4
"380",4
"381",4
"382",3.5
"383",3.5
"384",4.5
"385",4
"386",1.5
"387",2
"388",3.5
"389",3.5
"390",2
"391",2.5
"392",4
"393",2.5
"394",1
"395",3
"396",3.5
"397",1.5
"398",3
"399",4.5
"400",2
"401",3.5
"402",4
"403",3
"404",2.5
"405",4.5
"406",5
"407",3
"408",3.5
"409",4
"410",4
"411",2.5
"412",4.5
"413",3
"414",2
"415",2.5
"416",3.5
"417",3
"418",4.5
"419",4
"420",3.5
"421",4.5
"422",2.5
"423",2
"424",3
"425",1.5
"426",4
"427",2.5
"428",4
"429",4.5
"430",1.5
"431",3
"432",4
"433",2.5
"434",4
"435",4
"436",3.5
"437",3
"438",5
"439",4
"440",3.5
"441",3
"442",2.5
"443",3
"444",4
"445",3
"446",2
"447",2.5
"448",2.5
"449",3.5
"450",2
"451",4
"452",3
"453",3
"454",3
"455",3
"456",2.5
"457",5
"458",3
"459",2.5
"460",3
"461",3
"462",4
"463",4
"464",3
"465",3
"466",3
"467",2.5
"468",2.5
"469",3.5
"470",3.5
"471",4
"472",3.5
"473",2
"474",3
"475",3
"476",3
"477",3.5
"478",3
"479",3
"480",3
"481",3
"482",3
"483",4
"484",3.5
"485",4
"486",4
"487",3.5
"488",2.5
"489",3
"490",3.5
"491",4
"492",3
"493",3
"494",3
"495",2
"496",2.5
"497",3.5
"498",2.5
"499",2
"500",2.5
"501",4
"502",2.5
"503",2.5
"504",2
"505",4
"506",3.5
"507",5
"508",3
"509",2.5
"510",3
"511",3.5
"512",3
"513",4.5
"514",3.5
"515",3.5
"516",2
"517",3.5
"518",3.5
"519",4
"520",3
"521",3
"522",3.5
"523",3.5
"524",2
"525",3.5
"526",3.5
"527",4.5
"528",3.5
"529",4
"530",2.5
"531",4
"532",3.5
"533",2
"534",4
"535",4.5
"536",2.5
"537",4
"538",4.5
"539",3.5
"540",2
"541",2
"542",4.5
"543",4
"544",5
"545",4
"546",2
"547",3
"548",3.5
"549",3.5
"550",4
"551",3.5
"552",3
"553",2
"554",4
"555",3.5
"556",3
"557",4.5
"558",2
"559",3
"560",1
"561",3
"562",4.5
"563",3.5
"564",4
"565",3.5
"566",3.5
"567",4
"568",4.5
"569",4
"570",2.5
"571",2.5
"572",3.5
"573",3
"574",3
"575",4.5
"576",3.5
"577",3
"578",3.5
"579",2
"580",3
"581",3.5
"582",4
"583",3.5
"584",3.5
"585",4
"586",4
"587",2.5
"588",2.5
"589",4.5
"590",3.5
"591",4
"592",2.5
"593",3
"594",4
"595",3.5
"596",3.5
"597",2.5
"598",2
"599",4
"600",3
"601",2
"602",4.5
"603",3.5
"604",2.5
"605",3.5
"606",4
"607",2.5
"608",2
"609",2
"610",3
"611",2
"612",3.5
"613",3.5
"614",3
"615",2.5
"616",4
"617",4
"618",4.5
"619",3
"620",4
"621",3.5
"622",3.5
"623",4.5
"624",3.5
"625",3
"626",3
"627",3.5
"628",3
"629",4
"630",3.5
"631",3
"632",3.5
"633",4
"634",4
"635",3.5
"636",4
"637",3.5
"638",2.5
"639",3
"640",2.5
"641",4
"642",4.5
"643",1.5
"644",4.5
"645",3.5
"646",3.5
"647",3
"648",2
"649",3
"650",3.5
"651",2
"652",4.5
"653",3
"654",3
