"","x"
"1",4
"2",4.5
"3",2
"4",4.5
"5",3.5
"6",3
"7",2
"8",4
"9",3.5
"10",4
"11",4.5
"12",4.5
"13",4
"14",4.5
"15",3
"16",2.5
"17",3.5
"18",2
"19",4
"20",3.5
"21",2
"22",3.5
"23",4
"24",3
"25",4.5
"26",3.5
"27",3.5
"28",3
"29",3
"30",3.5
"31",2
"32",4
"33",4.5
"34",3.5
"35",4
"36",2.5
"37",2
"38",3.5
"39",4.5
"40",4
"41",1
"42",3
"43",4
"44",4
"45",3
"46",3
"47",3.5
"48",4.5
"49",4
"50",3.5
"51",4.5
"52",3.5
"53",4
"54",3.5
"55",3
"56",4
"57",3
"58",2.5
"59",4
"60",5
"61",3.5
"62",3.5
"63",4
"64",3.5
"65",4
"66",3.5
"67",3.5
"68",3.5
"69",2.5
"70",3
"71",4.5
"72",3.5
"73",2.5
"74",2.5
"75",3
"76",3
"77",2
"78",4.5
"79",3
"80",3.5
"81",3
"82",3.5
"83",3
"84",2
"85",2
"86",4
"87",3.5
"88",3.5
"89",3
"90",4
"91",3.5
"92",4.5
"93",4
"94",2
"95",1.5
"96",4
"97",2.5
"98",4
"99",3.5
"100",3.5
"101",3.5
"102",4
"103",3
"104",3
"105",4
"106",3.5
"107",2
"108",4
"109",3.5
"110",4
"111",3.5
"112",5
"113",4.5
"114",4
"115",4
"116",3
"117",3.5
"118",3.5
"119",2.5
"120",4.5
"121",3
"122",4
"123",4
"124",3
"125",4.5
"126",2.5
"127",3.5
"128",4
"129",4
"130",3.5
"131",3
"132",4.5
"133",4.5
"134",3
"135",5
"136",2.5
"137",2.5
"138",3
"139",3
"140",3.5
"141",3.5
"142",3.5
"143",3.5
"144",3.5
"145",3
"146",4
"147",4
"148",3.5
"149",3
"150",3.5
"151",3
"152",3
"153",4
"154",4
"155",2.5
"156",3
"157",4
"158",4
"159",2
"160",1.5
"161",3
"162",3.5
"163",4
"164",3.5
"165",2.5
"166",3
"167",3.5
"168",3.5
"169",4
"170",2
"171",3.5
"172",3
"173",4
"174",3
"175",3
"176",3
"177",2.5
"178",4
"179",4.5
"180",4
"181",4
"182",2
"183",4
"184",3
"185",3
"186",4
"187",3.5
"188",3.5
"189",4
"190",3
"191",3.5
"192",3.5
"193",2.5
"194",3.5
"195",3.5
"196",2
"197",3
"198",5
"199",1.5
"200",3
"201",4
"202",4
"203",3
"204",3.5
"205",3.5
"206",3
"207",3
"208",4
