Class,Category,Mean
Alcohol,beer_and_wine,3.573333
Alcohol,full_bar,3.555385
Alcohol,None,3.387755
BikeParking,FALSE,3.366987
BikeParking,TRUE,3.556686
GoodForKids,FALSE,3.186335
GoodForKids,TRUE,3.420018
NoiseLevel,average,3.517665
NoiseLevel,loud,3.296053
NoiseLevel,quiet,3.430952
NoiseLevel,very_loud,3.045455
RestaurantsGoodForGroups,FALSE,3.222039
RestaurantsGoodForGroups,TRUE,3.437241
RestaurantsReservations,FALSE,3.329315
RestaurantsReservations,TRUE,3.539792
WiFi,free,3.59324
WiFi,no,3.423145
WiFi,paid,3.388889
Parking,FALSE,3.238956
Parking,TRUE,3.593623
Delivery,FALSE,3.763533
Delivery,TRUE,3.231954
,,
,,
,,
,,
