"","Word","T_Test_P_Value","T_Sig","Mean_Difference"
"1","pizza","0","TRUE","1.85797038856107"
"2","food","0","TRUE","2.06195789105916"
"3","cheese","1.17424007740695e-81","TRUE","1.31126944094157"
"4","sauce","5.22210301380559e-89","TRUE","1.33615101676995"
"5","service","0","TRUE","2.39634019251175"
"6","salad","1.55364100608646e-89","TRUE","1.64808307704507"
"7","restaurant","7.44969147426798e-160","TRUE","1.74727665555414"
"8","crust","3.92033441221748e-48","TRUE","1.23341267497015"
"9","chicken","1.82635097297794e-57","TRUE","1.48198449941062"
"10","beer","5.49131050684922e-32","TRUE","1.11969581989502"
"11","menu","6.51963307171942e-51","TRUE","0.995346574972506"
"12","delivery","1.7830744601093e-122","TRUE","1.78203579186232"
"13","staff","1.28883666939413e-188","TRUE","2.29818477890169"
"14","price","1.46238155352844e-51","TRUE","1.31339077742672"
"15","bread","6.71124700584862e-32","TRUE","1.19216266526657"
"16","dinner","3.45273977489266e-50","TRUE","1.53301854257435"
"17","meal","4.16926802651092e-28","TRUE","0.93901153157375"
"18","pasta","1.40130970210691e-30","TRUE","1.40930930930931"
"19","server","1.2107782081709e-76","TRUE","1.54213709913304"
"20","flavor","1.06979966543842e-21","TRUE","1.06667708866276"
"21","sandwich","5.24165702808762e-24","TRUE","1.35896635321775"
"22","lunch","1.07589165140365e-35","TRUE","1.45052970751818"
"23","pie","3.66884035348216e-07","TRUE","0.632042482597098"
"24","pepperoni","1.22893452126516e-17","TRUE","1.09581813761245"
"25","location","6.6622970434018e-39","TRUE","1.27406498877075"
"26","meatball","4.60503235869501e-10","TRUE","1.2151497005988"
"27","waitress","8.52610947221195e-79","TRUE","1.46684018960555"
"28","wine","4.56531800686639e-20","TRUE","1.22985886969179"
"29","burger","2.77716332089268e-12","TRUE","1.1145411053758"
"30","sausage","3.9345515335273e-10","TRUE","0.996478606588413"
"31","garlic","2.07102749213522e-14","TRUE","1.15480373021037"
"32","meat","6.85242182664539e-18","TRUE","1.13811991117691"
"33","tomato","1.89447829945661e-10","TRUE","1.09793375226329"
"34","appetizer","2.94807088126341e-14","TRUE","1.1604917605922"
"35","manager","2.49943239130778e-77","TRUE","1.61933319120932"
"36","style","9.1882995388661e-07","TRUE","0.629875433939146"
"37","mushroom","0.000221344853540234","TRUE","0.903910614525139"
"38","pepper","7.75979639803478e-06","TRUE","0.863239777147062"
"39","dough","1.93427770571772e-16","TRUE","1.27431656161572"
"40","dessert","7.05006417706093e-06","TRUE","0.786039821333939"
"41","soup","1.42078387840198e-12","TRUE","1.2646080760095"
