"","Linear_Coefficients","Linear_STD_Error","Linear_T_Value","Linear_P_Value"
"beer",0.0628330036424302,0.0103958455023168,6.04404938765464,1.51085580351153e-09
"pepperoni",0.0323753086105414,0.0158272881038918,2.04553732755901,0.0408058168996418
"meatball",0.0754636869830496,0.0145793339400371,5.17607232905302,2.27259172015903e-07
"wine",0.106070354413266,0.0156818578294552,6.76388955739887,1.35436071717906e-11
"sausage",0.0624727772444747,0.0195297400150737,3.19885350221028,0.00138039550057945
"mushroom",-0.0626209926702511,0.0206950220478161,-3.02589639796298,0.0024799141620284
"pepper",0.0438337486835807,0.0212856289929841,2.05931188117713,0.0394682332877297
"dessert",0.126775905443045,0.0238996314233378,5.30451299425683,1.13332460094067e-07
"bacon",0.0887230534914927,0.0251355842090312,3.52977884872931,0.000416186380652101
"mozzarella",0.0906391558336323,0.0290722300932277,3.11772284214091,0.00182331369389388
"shrimp",-0.093710488101192,0.0291057112701406,-3.21965978537446,0.00128404059824906
"gluten",0.0768663263663467,0.0254688303749661,3.01805482366793,0.00254498625623302
"parmesan",0.097687345225548,0.0350979220863209,2.78328001826697,0.00538274361821629
"spinach",0.124789959166839,0.034322454127784,3.63581108455241,0.000277315175742861
"spaghetti",-0.0760706341535422,0.0348063305041322,-2.18554018914781,0.0288527188210872
"lettuce",-0.493714542845624,0.0397297879799747,-12.4268104097226,2.04583120794017e-35
"lasagna",0.0673981199264471,0.0307615700451188,2.19098439473643,0.0284563596902231
"gelato",0.092250797630946,0.0302843754208983,3.04615156656943,0.0023188120385207
"cocktail",0.199032317773802,0.0368814540710611,5.3965420503844,6.81678002377696e-08
"gnocchi",0.206287038137197,0.0335239194383216,6.15342840555178,7.62542765346009e-10
"pesto",0.122299970445324,0.0368915355138595,3.31512279827383,0.000916515741664052
"margherita",0.0948261037037641,0.0395903962408399,2.39517945531309,0.0166149655269885
"ricotta",0.134634447794357,0.0443087212415447,3.03855412708506,0.00237808106933205
"rib",0.128684509836749,0.038272947875403,3.36228372728643,0.00077343957672713
"margarita",0.11885156717136,0.045070485030675,2.63701549008113,0.00836583449070972
"caesar",-0.302103473875912,0.0473721533438975,-6.37723752354671,1.81483105531341e-10
"honey",0.162694062788801,0.0500219856695684,3.25245110946841,0.00114470957838395
"noodle",-0.316203369904925,0.0476868707137514,-6.63082658124057,3.36341606081674e-11
"tiramisu",0.1327567964196,0.0515306377952295,2.57626922738941,0.0099894095013514
"cider",0.0941833336379005,0.0353474746887657,2.66449964154962,0.00771214429705522
"zucchini",0.138440764150475,0.05368128304101,2.57893918155259,0.0099125394168088
"donut",0.271911309304624,0.041015360722187,6.62949940014877,3.39377413264582e-11
"broccoli",-0.106425773521635,0.051841956203975,-2.05288884360184,0.0400872410014845
"balsamic",0.168390156290116,0.0632094522932884,2.66400277459762,0.00772354352097129
"turkey",0.115967457266692,0.0477505916662056,2.42860775584411,0.0151595380848816
"cannoli",0.149236577528067,0.0620853713600061,2.403731736784,0.016231380982265
"cauliflower",0.169389887484513,0.0644031621557153,2.63014861094799,0.00853670949594985
"seasoning",-0.217719901314592,0.0534369076684758,-4.07433571316164,4.61990435367281e-05
"hummus",0.178954919732093,0.0630453879029581,2.83850929758014,0.00453384484713099
"cooky",0.35082204303597,0.0705555081096872,4.97228426858713,6.63319818677541e-07
"ketchup",-0.221631722508741,0.0679678590043097,-3.26083130696655,0.00111141665287361
"savory",0.329557203586326,0.0773607943237523,4.26000284080772,2.04703320743498e-05
"carbonara",0.139427799800235,0.0683872594251595,2.03879788387805,0.041474127568859
"truffle",0.157419034292002,0.0709622899992887,2.21834772093149,0.026534478013468
"cheddar",0.172885565518452,0.0788701096736363,2.19202897312873,0.0283808490743591
"peanut",0.199355725822137,0.077987175081475,2.55626294469399,0.0105825028206696
"patty",-0.373639486205279,0.0798319182510702,-4.6803270470113,2.8697795507626e-06
"cracker",-0.36778455067003,0.0867699465811274,-4.23861676953047,2.25202331774788e-05
"grape",0.329525548166183,0.0879146953012275,3.7482419410897,0.000178228156111314
"sangria",0.215894295900743,0.0843578965676094,2.55926599269474,0.0104915244697387
"candy",0.266883983412325,0.0929577295454641,2.87102519303461,0.00409271316207914
"chipotle",0.285103241689158,0.101689017157536,2.80367781751176,0.0050537915115887
"crouton",-0.246191115607525,0.108496499413692,-2.26911574970553,0.0232644587704051
"lemonade",0.374715394090182,0.104056506845443,3.60107604464135,0.000317132126892418
"espresso",0.312993720070714,0.10634720107034,2.9431307727948,0.00325022714698484
"pudding",0.229861610809443,0.0952719312027158,2.4126897388104,0.0158379654716506
"dumpling",0.288102717332513,0.104034152768414,2.76930901695182,0.00561908029766189
"bourbon",0.329145860670012,0.105229892373694,3.12787415481853,0.00176151092896336
"fryer",-0.654586216583894,0.126259321484948,-5.18445853252847,2.1727206810449e-07
"peach",0.562514339927716,0.122577153384141,4.58906349509413,4.46046603733478e-06
