,business_id,Alcohol,BikeParking,GoodForKids,NoiseLevel,RestaurantsGoodForGroups,RestaurantsReservations,WiFi,RestaurantsDelivery,BusinessParking,Add,Keep,Fix,Avoid,Positive_Negative_Percentage,name,address,city,latitude,longitude,stars,Review_Num,Average_Review_Star_Rating
0,ZkzutF0P_u0C0yTulwaHkA,0,1,1,1,1,1,0,0,0,beer wine mozzarella bbq gelato cocktail pesto margherita chocolate crunchy arugula artichoke margarita prosciutto tiramisu cider donut ale cannoli cauliflower hummus cooky carbonara vinaigrette strawberry salami jam pistachio sangria espresso pudding dumpling bourbon,sausage bacon,lettuce wing,shrimp fish marinara spaghetti caesar noodle tea broccoli coke patty cracker,pizza 20 6 2;food 7 2 1;sauce 11 0 1;service 7 0 3;crust 4 2 0;garlic 4 2 1,Lelulos Pizzeria,311 Unity Center Rd,Pittsburgh,40.4899958,-79.77928790000001,4.0,32,3.875
1,39lLJK_rrYY2NYomSsQdUA,0,0,1,1,0,0,0,0,0,wine sausage bacon mozzarella bbq gelato cocktail pesto margherita chocolate crunchy arugula artichoke margarita prosciutto tiramisu cider donut ale cannoli cauliflower hummus cooky carbonara vinaigrette strawberry salami jam pistachio sangria espresso pudding dumpling bourbon,beer,tea wing cracker,shrimp fish marinara spaghetti lettuce caesar noodle broccoli coke patty,pizza 7 2 0,Marco's Pizza,24335 Chagrin Blvd,Cleveland,41.4657893,-81.5063487,2.5,11,2.455
2,0y6alZmSLnPzmG5_kP5Quw,0,1,1,1,1,0,0,0,0,wine bacon mozzarella bbq gelato cocktail pesto margherita chocolate crunchy arugula artichoke margarita prosciutto tiramisu cider donut ale cannoli cauliflower hummus cooky carbonara vinaigrette strawberry salami jam pistachio sangria espresso pudding dumpling bourbon,beer sausage,shrimp fish marinara wing,spaghetti lettuce caesar noodle tea broccoli coke patty cracker,pizza 15 5 1;sauce 5 2 0;crust 2 4 0;price 5 2 0;dough 1 5 0,J J's Pizza,20542 Lorain Rd,Cleveland,41.4483412,-81.84764399999997,4.5,21,4.524
3,_Kp1IPTi17wBywYOd30raA,1,0,1,1,1,0,0,0,1,beer wine sausage bacon mozzarella gelato cocktail pesto margherita chocolate crunchy arugula artichoke margarita prosciutto tiramisu cider donut ale cannoli cauliflower hummus cooky carbonara vinaigrette strawberry jam pistachio sangria espresso pudding dumpling bourbon,bbq salami,wing,shrimp fish marinara spaghetti lettuce caesar noodle tea broccoli coke patty cracker,pizza 6 2 1,Pizza Hut,8609 University Blvd,Pittsburgh,40.507268,-80.22263199999998,2.0,15,2.267
4,crBw_Hq3gCkppirgjnIl4A,1,1,1,1,1,0,1,0,1,wine bacon bbq gelato cocktail pesto margherita chocolate crunchy arugula prosciutto tiramisu cider donut ale cannoli cauliflower hummus cooky carbonara vinaigrette strawberry jam pistachio sangria espresso pudding dumpling bourbon,beer sausage mozzarella artichoke margarita salami,marinara spaghetti lettuce caesar,shrimp fish noodle tea broccoli wing coke patty cracker,pizza 43 10 2;food 12 2 1;cheese 8 4 0;sauce 13 4 0;service 10 3 3;salad 6 2 0;crust 13 5 1;delivery 2 4 0;staff 7 0 1;bread 8 0 1;pie 6 3 0;pepperoni 2 3 1;sausage 6 2 0;garlic 6 0 1;spaghetti 6 4 0,Famous Yeti's Pizza,971 N Page St,Madison,42.9265263,-89.222592,4.5,63,4.429
5,cPNolx5Ae2znDZNA7GG5BQ,0,0,1,0,0,0,0,0,1,beer wine sausage bacon mozzarella bbq gelato cocktail pesto margherita chocolate crunchy arugula artichoke margarita prosciutto tiramisu cider donut ale cannoli cauliflower hummus cooky carbonara vinaigrette strawberry salami jam pistachio sangria espresso pudding dumpling bourbon,,caesar,shrimp fish marinara spaghetti lettuce noodle tea broccoli wing coke patty cracker,,Little Caesars Pizza,9315 State Rte 14,Cleveland,41.2390005,-81.34754720000002,3.5,5,3.4
6,7LzhLKAwS7PHUvaPIW833A,1,1,1,1,1,1,0,1,1,beer bacon bbq gelato cocktail pesto margherita chocolate arugula margarita prosciutto tiramisu cider ale cannoli hummus cooky vinaigrette strawberry jam pistachio sangria espresso pudding dumpling bourbon,wine sausage mozzarella crunchy artichoke donut cauliflower carbonara salami,shrimp marinara spaghetti lettuce noodle tea,fish caesar broccoli wing coke patty cracker,pizza 9 4 0;food 13 4 3;cheese 3 2 2;sauce 10 4 0;service 14 2 2;salad 5 5 2;restaurant 8 4 0;menu 2 4 1;staff 4 3 0;price 5 0 2;bread 6 5 1;dinner 3 3 1;meal 5 4 1;pasta 12 2 0;meatball 2 5 0;sausage 4 2 1;kitchen 3 5 1,Dominic's Santos,21467 Lorain Rd,Cleveland,41.4436519,-81.8581755,3.5,40,3.525
7,ijNQXC2cBhbkf6iB6D8OJw,1,1,1,1,1,1,1,0,1,wine sausage bbq gelato cocktail pesto margherita chocolate arugula artichoke margarita prosciutto tiramisu cider donut ale cannoli cauliflower hummus cooky carbonara vinaigrette strawberry salami jam pistachio sangria espresso pudding dumpling bourbon,beer bacon mozzarella crunchy,shrimp fish lettuce broccoli wing,marinara spaghetti caesar noodle tea coke patty cracker,pizza 32 10 5;food 13 7 2;cheese 8 9 1;service 9 2 5;crust 3 5 1;chicken 3 4 0;delivery 8 11 3;price 3 3 0;flavor 5 1 1;pepperoni 2 4 0;fry 5 3 1;steak 3 2 3;hoagie 1 4 3;wing 4 2 0,Genoa Pizza & Bar,111 Market St,Pittsburgh,40.4388711,-80.00385329999997,3.0,68,3.147
8,00J65e-ewht6GZ9fXZdP1w,1,0,1,0,1,0,0,0,0,beer wine sausage bacon mozzarella bbq gelato cocktail pesto margherita chocolate crunchy arugula artichoke margarita prosciutto tiramisu cider donut ale cannoli cauliflower hummus cooky carbonara vinaigrette strawberry salami jam pistachio sangria espresso pudding dumpling bourbon,,,shrimp fish marinara spaghetti lettuce caesar noodle tea broccoli wing coke patty cracker,pizza 2 5 2,Pizza Hut,5041 Abbe Rd,Cleveland,41.4253019,-82.0765245744,2.0,11,1.818
9,isao1F5FW5kvQl402UlJ3g,0,0,0,0,0,0,0,0,0,beer wine sausage bacon mozzarella bbq gelato cocktail pesto margherita chocolate crunchy arugula artichoke margarita prosciutto tiramisu cider donut ale cannoli cauliflower hummus cooky carbonara vinaigrette strawberry salami jam pistachio sangria espresso pudding dumpling bourbon,,,shrimp fish marinara spaghetti lettuce caesar noodle tea broccoli wing coke patty cracker,,Little Caesars,125 Broad St,Cleveland,41.368042,-82.100909,3.0,4,2.75
