,Word,Word1,Count1,Word2,Count2,Word3,Count3,Sum
0,pizza,delicious,2808,fresh,1644,free,692,27807
1,food,delicious,1398,fresh,621,cheap,211,15948
2,cheese,fresh,613,delicious,530,cheap,86,6056
3,sauce,fresh,691,delicious,661,free,55,7104
4,service,delicious,367,clean,183,fresh,145,10950
5,salad,fresh,730,delicious,490,free,55,4691
6,restaurant,clean,265,delicious,104,fresh,99,4867
7,crust,delicious,594,fresh,560,free,167,6406
8,chicken,delicious,348,fresh,190,free,38,3498
9,beer,delicious,156,cheap,96,free,71,4014
10,menu,delicious,232,fresh,131,free,89,4069
11,delivery,delicious,73,free,55,fresh,55,2015
12,staff,clean,201,delicious,163,fresh,89,5571
13,price,cheap,125,delicious,114,affordable,98,3385
14,bread,fresh,462,delicious,323,free,90,2960
15,dinner,delicious,117,casual,63,fresh,52,2469
16,meal,delicious,168,fresh,89,free,59,2842
17,pasta,delicious,261,fresh,236,free,52,2286
18,server,delicious,57,efficient,54,free,35,2450
19,flavor,fresh,213,delicious,153,free,17,2566
20,sandwich,delicious,153,fresh,96,cheap,15,1762
21,lunch,delicious,84,fresh,38,casual,33,1979
22,pie,delicious,115,fresh,111,cheap,24,1862
23,pepperoni,delicious,144,fresh,109,cheap,18,1822
24,location,clean,43,delicious,32,fresh,14,1847
25,fry,fresh,132,delicious,130,free,11,1367
26,meatball,delicious,161,fresh,55,free,11,1299
27,waitress,delicious,34,free,23,clean,22,1516
28,wine,delicious,92,fresh,31,cheap,26,1669
29,burger,delicious,106,fresh,63,cheap,13,1122
30,sausage,delicious,121,fresh,114,free,15,1379
31,garlic,fresh,185,delicious,131,free,24,1515
32,meat,fresh,153,delicious,103,cheap,19,1306
33,tomato,fresh,307,delicious,103,cheap,11,1207
34,appetizer,delicious,145,fresh,47,free,36,1282
35,manager,free,50,fresh,11,clean,8,611
36,style,delicious,80,fresh,55,casual,16,1419
37,mushroom,fresh,124,delicious,69,cheap,5,870
38,pepper,fresh,105,delicious,75,free,6,828
39,dough,fresh,282,delicious,85,free,30,1284
40,dessert,delicious,95,free,58,fresh,37,989
41,soup,delicious,90,fresh,47,free,12,893
42,steak,delicious,59,fresh,32,cheap,10,850
43,onion,fresh,79,delicious,40,free,5,614
44,bartender,delicious,17,free,9,clean,9,971
45,bacon,delicious,81,fresh,52,free,6,803
46,kitchen,clean,36,fresh,25,free,15,669
47,hoagie,delicious,58,fresh,25,free,8,661
48,fan,delicious,44,fresh,12,free,5,1180
49,parking,free,73,clean,13,fresh,4,533
50,mozzarella,fresh,442,delicious,76,cheap,6,948
51,employee,clean,16,free,12,fresh,10,589
52,water,free,24,fresh,22,delicious,13,510
53,potato,delicious,40,fresh,27,cheap,3,630
54,waiter,free,16,delicious,16,fresh,9,678
55,entree,delicious,59,fresh,16,free,8,491
56,oil,fresh,140,delicious,71,free,20,722
57,cream,delicious,58,fresh,44,free,15,607
58,serve,fresh,33,delicious,28,cheap,10,536
59,shrimp,delicious,40,fresh,36,free,5,467
60,fish,fresh,33,delicious,22,clean,3,450
61,parmesan,fresh,79,delicious,60,free,7,554
62,spinach,fresh,76,delicious,44,free,4,555
63,beef,delicious,42,fresh,27,healthy,4,440
64,egg,delicious,28,fresh,25,cheap,2,393
65,brunch,delicious,30,fresh,9,casual,4,448
66,ice,delicious,34,fresh,16,free,16,428
67,chef,fresh,28,delicious,23,free,9,461
68,breadstick,delicious,36,free,29,fresh,12,351
69,breakfast,delicious,28,fresh,5,free,5,426
70,cake,delicious,44,fresh,19,free,10,407
71,marinara,delicious,53,fresh,42,free,3,487
72,pork,delicious,58,fresh,15,free,3,447
73,spaghetti,delicious,40,fresh,16,free,4,440
74,lettuce,fresh,96,delicious,25,cheap,7,348
75,bbq,delicious,45,fresh,15,cheap,4,476
76,music,clean,15,free,12,casual,10,553
77,lasagna,delicious,39,fresh,15,cheap,3,394
78,cocktail,delicious,40,fresh,15,free,7,426
79,eggplant,delicious,55,fresh,25,deliciousness,2,423
80,gnocchi,delicious,50,fresh,28,deliciousness,2,386
81,butter,delicious,49,fresh,33,free,4,432
82,ravioli,delicious,41,fresh,19,cheap,1,371
83,taco,delicious,23,fresh,10,free,5,292
84,margherita,fresh,45,delicious,35,free,5,379
85,chocolate,delicious,42,fresh,14,free,13,358
86,coffee,fresh,18,delicious,16,free,10,320
87,takeout,delicious,13,fresh,11,casual,8,384
88,management,clean,7,cheap,2,comfortable,2,241
89,building,clean,13,casual,4,delicious,4,338
90,tv,clean,13,comfortable,7,delicious,3,230
91,soda,free,24,fresh,10,delicious,8,203
92,attitude,free,4,delicious,2,fresh,2,174
93,salt,fresh,24,delicious,11,cheap,3,232
94,seafood,fresh,29,delicious,17,cheap,2,265
95,caesar,fresh,21,delicious,11,free,2,210
96,grease,fresh,10,delicious,8,cheap,5,219
97,buffet,fresh,12,clean,6,cheap,5,158
98,worker,delicious,9,clean,7,free,3,218
99,tiramisu,delicious,30,fresh,5,scrumptious,2,256
100,doughy,fresh,20,delicious,16,cheap,4,235
101,cooking,fresh,9,delicious,8,clean,4,221
102,diner,clean,9,casual,5,free,4,170
103,fee,cheap,7,free,4,efficient,1,76
104,wing,delicious,151,fresh,57,free,20,1862
105,topping,fresh,438,delicious,158,free,41,2257
106,dressing,fresh,157,delicious,106,healthy,12,1121
107,olive,fresh,111,delicious,55,free,7,694
108,serving,delicious,24,fresh,22,healthy,5,443
109,seasoning,fresh,14,delicious,13,free,2,218
