,Word,Word1,Count1,Word2,Count2,Word3,Count3,Sum
0,pizza,bad,824,ill,513,wrong,489,2814
1,food,bad,550,terrible,243,wrong,225,2139
2,cheese,bad,91,wrong,56,disappointed,44,688
3,sauce,bad,107,wrong,67,die,58,777
4,service,terrible,604,bad,581,poor,485,2584
5,salad,wrong,70,bad,59,disappointed,47,525
6,restaurant,bad,121,worst,87,disappointed,76,889
7,crust,fired,89,bad,61,wrong,38,495
8,chicken,bad,47,wrong,44,die,38,378
9,beer,bad,66,limited,58,wrong,33,270
10,menu,limited,201,disappointed,83,wrong,79,640
11,delivery,bad,74,wrong,73,rude,68,585
12,staff,rude,183,bad,50,poor,40,602
13,price,bad,121,low,81,charged,50,533
14,bread,die,50,bad,38,crazy,30,292
15,dinner,bad,49,disappointed,45,ill,45,330
16,meal,bad,231,disappointed,43,wrong,37,393
17,pasta,bad,31,disappointed,24,wrong,22,231
18,server,rude,65,bad,56,wrong,35,431
19,flavor,lack,62,bad,43,disappointed,26,254
20,sandwich,wrong,32,bad,25,disappointed,22,209
21,lunch,bad,46,disappointed,31,ill,25,229
22,pie,bad,46,ill,32,disappointed,27,212
23,pepperoni,disappointed,26,wrong,22,ill,19,197
24,location,bad,74,ill,38,terrible,33,378
25,fry,bad,20,wrong,16,disappointed,12,138
26,meatball,die,28,disappointed,19,bad,15,141
27,waitress,rude,72,bad,55,wrong,34,432
28,wine,limited,27,ill,19,disappointed,18,150
29,burger,bad,20,disappointed,13,ill,11,101
30,sausage,die,11,disappointed,11,wrong,11,120
31,garlic,die,22,bad,18,crazy,12,140
32,meat,bad,17,wrong,15,ill,12,199
33,tomato,crushed,44,bad,13,disappointed,11,134
34,appetizer,disappointed,19,wrong,16,bad,16,151
35,manager,rude,149,wrong,61,bad,35,576
36,style,fired,22,bad,15,ill,14,139
37,mushroom,bad,11,disappointed,10,die,10,103
38,pepper,crushed,46,wrong,8,missing,8,106
39,dough,fired,23,bad,23,lack,8,136
40,dessert,die,20,forget,14,unfortunately,12,112
41,soup,wrong,20,bad,12,disappointed,12,93
42,steak,worst,17,bad,14,wrong,11,114
43,onion,bad,8,die,6,disappointed,6,78
44,bartender,rude,67,ignored,18,horrible,14,197
45,bacon,die,14,wrong,11,crazy,8,93
46,kitchen,dirty,21,wrong,20,bad,19,212
47,hoagie,bad,13,wrong,10,worst,9,107
48,fan,ill,17,disappoint,9,bad,8,445
49,parking,difficult,54,limited,43,pain,35,272
50,mozzarella,crushed,16,die,11,fired,10,82
51,employee,rude,79,bad,26,dirty,19,274
52,water,dirty,15,bad,8,drop,6,114
53,potato,die,8,bad,7,ill,4,61
54,waiter,bad,24,wrong,15,rude,14,144
55,entree,disappointed,15,wrong,9,unfortunately,5,65
56,oil,crushed,11,die,7,dirty,6,69
57,cream,die,8,disappointed,7,bad,6,53
58,serve,bad,17,refused,11,limited,8,128
59,shrimp,bad,8,disappointing,4,horrible,4,49
60,fish,bad,8,disappointing,6,wrong,6,52
61,parmesan,crushed,13,die,7,disappointed,6,53
62,spinach,wrong,8,disappointed,7,bad,6,38
63,beef,disappointed,9,disappointing,8,die,7,45
64,egg,ill,6,bloody,6,unfortunately,4,46
65,brunch,bloody,13,disappointed,10,bad,8,47
66,ice,charged,7,bad,6,wrong,6,64
67,chef,bad,9,poor,5,worse,5,61
68,breadstick,die,7,wrong,6,terrible,5,50
69,breakfast,bloody,9,bad,8,ill,7,34
70,cake,die,11,forget,6,awful,4,58
71,marinara,die,8,wrong,7,bad,5,58
72,pork,bad,7,disappointed,5,smothered,5,43
73,spaghetti,bad,8,disappointed,7,die,5,49
74,lettuce,bad,13,rotten,8,unfortunately,6,90
75,bbq,bad,9,smothered,5,unfortunately,5,40
76,music,bad,12,terrible,7,complaint,7,79
77,lasagna,disappointed,9,bad,9,die,8,43
78,cocktail,disappointed,6,ill,6,bloody,5,32
79,eggplant,die,7,wrong,5,bad,4,33
80,gnocchi,die,11,disappointed,7,ill,6,45
81,butter,die,8,smothered,5,bomb,5,62
82,ravioli,die,11,bad,4,boring,3,39
83,taco,disappointed,6,bad,5,strange,5,46
84,margherita,wrong,9,disappointed,7,fired,6,39
85,chocolate,death,11,die,9,bomb,5,36
86,coffee,bad,10,dirty,6,bloody,6,44
87,takeout,disappointed,8,bad,8,ill,7,75
88,management,poor,49,rude,29,bad,21,200
89,building,wrong,8,bad,6,lower,6,69
90,tv,bad,5,complaint,3,complain,2,35
91,soda,charged,6,dirty,5,wrong,5,51
92,attitude,bad,52,rude,29,poor,16,198
93,salt,missing,8,wrong,7,lack,6,56
94,seafood,disappointed,7,bad,5,die,4,31
95,caesar,bad,4,disappointed,3,complaint,3,43
96,grease,bad,16,bomb,4,low,3,66
97,buffet,dirty,5,limited,5,horrible,3,33
98,worker,rude,19,bad,9,horrible,4,81
99,tiramisu,die,9,disappoint,7,disappointed,4,32
100,doughy,bad,5,worse,3,ruined,2,33
101,cooking,fired,4,disappointed,4,wrong,3,61
102,diner,bad,6,terrible,3,disappointed,3,36
103,fee,charged,23,outrageous,2,avoid,2,35
104,wing,bad,33,terrible,27,die,24,272
105,topping,wrong,42,missing,31,charged,24,304
106,dressing,wrong,20,missing,14,die,13,143
107,olive,crushed,11,bad,10,hate,7,69
108,serving,refused,4,bad,4,complaint,4,75
109,seasoning,lack,10,unfortunately,4,bad,4,31
