,Word,Word1,Count1,Word2,Count2,Word3,Count3,Sum
0,pizza,good,8277,best,5561,great,5491,27807
1,food,good,5315,great,4473,delicious,1398,15948
2,cheese,good,1244,like,985,fresh,613,6056
3,sauce,good,1597,like,1132,sweet,1099,7104
4,service,great,3674,good,3036,friendly,1912,10950
5,salad,good,1128,fresh,730,great,631,4691
6,restaurant,great,714,like,668,good,638,4867
7,crust,good,1350,like,1036,great,795,6406
8,chicken,good,759,like,436,delicious,348,3498
9,beer,good,1249,great,1210,nice,379,4014
10,menu,good,664,great,657,like,440,4069
11,delivery,good,339,great,279,friendly,266,2015
12,staff,friendly,2849,great,1006,nice,718,5571
13,price,good,1036,great,847,worth,371,3385
14,bread,good,661,fresh,462,like,432,2960
15,dinner,great,448,good,320,nice,220,2469
16,meal,great,499,good,478,like,206,2842
17,pasta,good,492,like,297,great,281,2286
18,server,friendly,489,great,371,nice,323,2450
19,flavor,good,595,great,457,like,280,2566
20,sandwich,good,432,great,241,like,200,1762
21,lunch,great,448,good,347,nice,146,1979
22,pie,good,357,great,237,like,215,1862
23,pepperoni,good,371,like,228,great,178,1822
24,location,great,462,good,267,like,175,1847
25,fry,good,363,great,142,like,139,1367
26,meatball,good,331,delicious,161,great,154,1299
27,waitress,friendly,304,nice,283,good,195,1516
28,wine,good,382,great,371,nice,197,1669
29,burger,good,313,great,171,best,136,1122
30,sausage,good,263,like,179,great,145,1379
31,garlic,good,295,like,201,fresh,185,1515
32,meat,good,243,like,205,fresh,153,1306
33,tomato,fresh,307,like,196,good,168,1207
34,appetizer,good,282,great,188,delicious,145,1282
35,manager,like,112,care,74,great,69,611
36,style,like,268,good,249,great,162,1419
37,mushroom,good,149,fresh,124,like,99,870
38,pepper,good,132,fresh,105,like,103,828
39,dough,fresh,282,like,219,good,204,1284
40,dessert,good,175,great,108,delicious,95,989
41,soup,good,212,great,108,like,105,893
42,steak,good,202,like,117,great,100,850
43,onion,good,95,like,90,fresh,79,614
44,bartender,friendly,228,great,183,nice,126,971
45,bacon,good,141,like,88,delicious,81,803
46,kitchen,like,124,good,75,great,69,669
47,hoagie,good,199,best,82,like,62,661
48,fan,fan,1870,huge,361,good,104,1180
49,parking,easy,98,good,79,free,73,533
50,mozzarella,fresh,442,good,129,like,91,948
51,employee,friendly,151,nice,98,like,95,589
52,water,like,138,good,63,nice,51,510
53,potato,sweet,146,good,123,like,96,630
54,waiter,friendly,133,nice,102,great,94,678
55,entree,good,83,delicious,59,like,42,491
56,oil,fresh,140,good,128,like,115,722
57,cream,good,98,like,90,delicious,58,607
58,serve,good,84,like,71,great,59,536
59,shrimp,good,115,like,50,great,42,467
60,fish,good,115,like,60,great,59,450
61,parmesan,fresh,79,good,73,delicious,60,554
62,spinach,good,86,fresh,76,like,51,555
63,beef,good,66,like,64,delicious,42,440
64,egg,good,69,like,58,top,51,393
65,brunch,great,87,good,68,delicious,30,448
66,ice,like,76,good,73,great,41,428
67,chef,like,63,great,61,good,45,461
68,breadstick,good,85,like,48,great,37,351
69,breakfast,good,91,great,67,like,50,426
70,cake,good,73,like,46,delicious,44,407
71,marinara,good,107,like,73,delicious,53,487
72,pork,good,64,delicious,58,like,41,447
73,spaghetti,good,105,like,85,delicious,40,440
74,lettuce,fresh,96,good,80,like,61,348
75,bbq,good,93,like,50,favorite,47,476
76,music,good,135,great,135,nice,71,553
77,lasagna,good,87,like,54,best,44,394
78,cocktail,great,88,good,74,delicious,40,426
79,eggplant,good,73,delicious,55,like,42,423
80,gnocchi,good,74,delicious,50,like,46,386
81,butter,like,71,good,64,delicious,49,432
82,ravioli,good,86,delicious,41,like,37,371
83,taco,good,72,like,43,great,35,292
84,margherita,good,62,fresh,45,favorite,36,379
85,chocolate,good,51,delicious,42,like,39,358
86,coffee,good,70,great,55,like,45,320
87,takeout,great,76,good,63,definitely,30,384
88,management,good,42,care,39,like,35,241
89,building,like,50,great,45,nice,37,338
90,tv,nice,39,great,37,good,30,230
91,soda,good,35,like,32,free,24,203
92,attitude,like,38,great,34,good,32,174
93,salt,like,60,good,31,fresh,24,232
94,seafood,good,49,like,33,fresh,29,265
95,caesar,good,48,like,21,fresh,21,210
96,grease,like,64,good,31,top,29,219
97,buffet,good,45,great,29,like,21,158
98,worker,friendly,53,nice,35,like,30,218
99,tiramisu,good,49,delicious,30,best,28,256
100,doughy,like,49,good,37,perfect,30,235
101,cooking,like,92,good,33,great,21,221
102,diner,like,42,good,28,great,18,170
103,fee,like,14,good,8,nice,7,76
104,wing,good,606,great,298,best,239,1862
105,topping,good,441,fresh,438,like,356,2257
106,dressing,good,247,fresh,157,like,128,1121
107,olive,like,116,fresh,111,good,107,694
108,serving,good,63,like,57,great,43,443
109,seasoning,good,41,like,41,great,26,218
