"","x"
"1",4
"2",2.5
"3",4.5
"4",2
"5",3.5
"6",4
"7",2
"8",4.5
"9",4
"10",4.5
"11",4
"12",2.5
"13",2
"14",3.5
"15",2
"16",4.5
"17",3.5
"18",2.5
"19",2.5
"20",4.5
"21",3
"22",3.5
"23",2.5
"24",3.5
"25",4.5
"26",4
"27",1
"28",3
"29",3.5
"30",4
"31",4
"32",3.5
"33",3
"34",3
"35",2.5
"36",5
"37",4
"38",3.5
"39",3.5
"40",4
"41",4.5
"42",2.5
"43",4.5
"44",4
"45",3
"46",2
"47",3.5
"48",3.5
"49",3
"50",2.5
"51",4
"52",3.5
"53",4.5
"54",4
"55",1.5
"56",4
"57",4
"58",3.5
"59",4
"60",4
"61",3
"62",4
"63",3.5
"64",3.5
"65",4.5
"66",5
"67",3
"68",4.5
"69",4
"70",3
"71",4
"72",3.5
"73",2.5
"74",3
"75",2.5
"76",2.5
"77",3.5
"78",3.5
"79",4
"80",2.5
"81",3
"82",2.5
"83",3
"84",3
"85",3.5
"86",3.5
"87",3.5
"88",4
"89",4
"90",4
"91",3
"92",4
"93",2.5
"94",3.5
"95",4
"96",3
"97",4
"98",1.5
"99",3
"100",3.5
"101",3
"102",3
"103",4
"104",3
"105",2
"106",4.5
"107",3
"108",4
"109",3
"110",3
"111",4
"112",4.5
"113",2.5
"114",3
"115",3.5
"116",3
"117",4
"118",3.5
"119",4
"120",2.5
"121",3.5
"122",4
"123",5
"124",4
"125",3
"126",3.5
"127",4
"128",3
"129",5
"130",3.5
"131",4
"132",4.5
"133",2.5
"134",2.5
"135",4
"136",3.5
"137",4
"138",3
"139",4
"140",3
"141",1.5
"142",3
"143",2.5
"144",3.5
"145",4
"146",3.5
"147",3
"148",3
"149",4
"150",3
"151",4.5
"152",3.5
"153",4
"154",3
"155",3.5
"156",3.5
"157",4
"158",3
"159",3.5
"160",3.5
"161",2.5
"162",4
"163",4
"164",1.5
"165",1.5
"166",4
"167",4.5
"168",3
"169",4
"170",4.5
"171",3
"172",3.5
"173",4.5
"174",2.5
"175",4.5
"176",4.5
"177",4
"178",4
"179",3.5
"180",4
"181",3.5
"182",3.5
"183",2
"184",3
"185",2
"186",3.5
"187",4
"188",3.5
"189",2.5
"190",3
"191",3
"192",4
"193",4.5
"194",4.5
"195",4
"196",3
"197",3.5
"198",4
"199",3.5
"200",3.5
"201",2.5
"202",3.5
"203",2.5
"204",3.5
"205",3.5
"206",4
"207",4.5
"208",4
"209",2.5
"210",3
"211",3.5
"212",3.5
"213",3.5
"214",2.5
"215",4
"216",4
"217",3.5
"218",1.5
"219",3.5
"220",2
"221",2.5
"222",1
"223",4.5
"224",4
"225",3.5
"226",4
"227",3.5
"228",4
"229",4.5
"230",3
"231",2
"232",3.5
"233",3.5
"234",4.5
"235",2.5
"236",3
"237",1.5
"238",4
"239",2.5
"240",4
"241",4
"242",3.5
"243",4
"244",3.5
"245",3
"246",2.5
"247",3
"248",3
"249",3.5
"250",3
"251",2
"252",3.5
"253",3.5
"254",4
"255",3
"256",3
"257",3
"258",3
"259",5
"260",3
"261",3.5
"262",3
"263",4
"264",4
"265",3
"266",3
"267",2.5
"268",3.5
"269",4
"270",4
"271",3
"272",3.5
"273",3
"274",3
"275",3
"276",4
"277",4.5
"278",3.5
"279",3.5
"280",4
"281",3
"282",3
"283",4
"284",2.5
"285",2.5
"286",4
"287",2.5
"288",2.5
"289",3.5
"290",3.5
"291",4
"292",3
"293",4
"294",3.5
"295",2
"296",3.5
"297",3.5
"298",4.5
"299",3.5
"300",4
"301",2
"302",4.5
"303",2.5
"304",4
"305",3.5
"306",3.5
"307",3.5
"308",3.5
"309",2.5
"310",5
"311",2
"312",3
"313",3.5
"314",3.5
"315",4
"316",3.5
"317",3
"318",3.5
"319",4.5
"320",1
"321",4.5
"322",3
"323",2.5
"324",3.5
"325",2.5
"326",4
"327",4
"328",4
"329",4
"330",3.5
"331",3.5
"332",2.5
"333",3
"334",3.5
"335",3.5
"336",4
"337",4.5
"338",4.5
"339",2.5
"340",3
"341",2
"342",3
"343",2.5
"344",2
"345",3
"346",3
"347",2.5
"348",4
"349",4
"350",3.5
"351",3.5
"352",3
"353",3
"354",3.5
"355",3
"356",4
"357",3.5
"358",3.5
"359",4
"360",3.5
"361",4
"362",4.5
"363",2.5
"364",3.5
"365",4.5
"366",2
"367",3.5
"368",2
"369",4.5
"370",4.5
"371",3
"372",4
"373",4
"374",3
"375",4.5
"376",2.5
"377",4
"378",4
"379",3.5
"380",4
"381",3
"382",3.5
"383",3.5
"384",4
"385",3.5
"386",4
"387",4.5
"388",4
"389",4.5
"390",4
"391",4
"392",4
"393",4
"394",3
"395",3.5
"396",3.5
"397",2.5
"398",3
"399",3
"400",3.5
"401",3
"402",3.5
"403",3.5
"404",3
"405",3
"406",5
"407",4.5
"408",4
"409",2.5
"410",3
"411",2
"412",4
"413",4
"414",4.5
"415",4.5
"416",3
"417",3.5
"418",4.5
"419",3
"420",4.5
"421",3
"422",1.5
"423",4
"424",3
"425",4
"426",4.5
"427",2.5
"428",3.5
"429",3
"430",5
"431",3
"432",3.5
"433",3.5
"434",2.5
"435",3.5
"436",2.5
"437",3.5
"438",3
"439",4.5
"440",3.5
"441",3.5
"442",3.5
"443",4.5
"444",3
"445",1.5
"446",4
"447",3.5
"448",4
"449",3.5
"450",4
"451",4.5
"452",3.5
"453",3
"454",4.5
"455",3
"456",4
"457",3
"458",4
"459",2.5
"460",4
"461",3
"462",4
"463",3.5
"464",4
"465",4
"466",4.5
"467",4.5
"468",2.5
"469",3.5
"470",4
"471",4
"472",4
"473",4
"474",1.5
"475",4
"476",4
"477",4
"478",3.5
"479",4
"480",4
"481",3.5
"482",3.5
"483",4.5
"484",4
"485",2.5
"486",4
"487",2.5
"488",3.5
"489",3.5
"490",1.5
"491",4
"492",3.5
"493",4
"494",4
"495",3.5
"496",3
"497",4
"498",4
"499",4
"500",3
"501",2.5
"502",3
"503",3.5
"504",2
"505",2.5
"506",3
"507",2.5
"508",3
"509",4.5
"510",3.5
"511",4
"512",3.5
"513",2
"514",3.5
"515",3
"516",3.5
"517",4
"518",3.5
"519",3.5
"520",2.5
"521",2.5
"522",3.5
"523",3.5
"524",4
"525",3.5
"526",4
"527",4
"528",4
"529",3.5
"530",2.5
"531",3.5
"532",2.5
"533",4
"534",3.5
"535",3.5
"536",3
"537",4
"538",4
"539",4
"540",4
"541",3
"542",3.5
"543",1.5
"544",2.5
"545",3
"546",3.5
"547",3.5
"548",2.5
"549",4.5
"550",2
"551",4
"552",4
"553",1.5
"554",2.5
"555",4.5
"556",4
"557",3.5
"558",3.5
"559",1
"560",3.5
"561",2.5
"562",3
"563",3
"564",4
"565",4
"566",3.5
"567",3
"568",4
"569",4.5
"570",3.5
"571",4.5
"572",3.5
"573",3
"574",4
"575",2.5
