,Word,Frequency
0,pizza,97915
1,good,40169
2,place,36894
3,food,34945
4,great,29749
5,time,27346
6,like,22193
7,order,21334
8,one,20664
9,service,20018
10,get,19846
11,would,17730
12,ordered,17604
13,back,17495
14,sauce,16568
15,go,16229
16,cheese,16161
17,really,15991
18,also,14240
19,best,13715
20,salad,13152
21,crust,12925
22,got,12889
23,restaurant,12729
24,delicious,11543
25,nice,11506
26,dont,11486
27,always,11289
28,well,11227
29,ive,11132
30,love,11022
31,try,10689
32,im,10448
33,even,10247
34,little,10171
35,menu,10076
36,make,9731
37,never,9574
38,chicken,9569
39,bar,9567
40,beer,9549
41,table,9447
42,minute,9160
43,come,8867
44,first,8758
45,definitely,8728
46,came,8676
47,fresh,8477
48,friendly,8465
49,night,8387
50,didnt,8207
51,staff,8184
52,could,8172
53,wait,8152
54,price,7940
55,pretty,7895
56,italian,7773
57,much,7733
58,drink,7662
59,people,7592
60,better,7562
61,made,7468
62,take,7385
63,amazing,7341
64,went,7303
65,two,7297
66,said,7293
67,eat,7235
68,topping,7110
69,delivery,7044
70,thing,6998
71,say,6990
72,way,6918
73,area,6892
74,bread,6812
75,favorite,6799
76,ever,6732
77,slice,6722
78,wing,6589
79,know,6561
80,experience,6552
81,hour,6525
82,dinner,6487
83,right,6372
84,meal,6228
85,lot,6224
86,want,6202
87,still,6127
88,small,6082
89,think,6071
90,give,6056
91,friend,6029
92,going,5994
93,taste,5980
94,day,5904
95,star,5887
96,side,5869
97,new,5861
98,server,5855
99,large,5851
100,pasta,5786
101,tried,5743
102,flavor,5731
103,around,5683
104,recommend,5625
105,sure,5593
106,cant,5578
107,bad,5481
108,lunch,5412
109,wasnt,5382
110,dish,5377
111,bit,5355
112,year,5318
113,customer,5299
114,told,5290
115,pepperoni,5245
116,special,5242
117,many,5195
118,family,5178
119,sandwich,5167
120,last,5164
121,review,5157
122,since,5099
123,another,5079
124,everything,5069
125,took,5066
126,pie,5060
127,excellent,5043
128,location,5010
129,next,4981
130,every,4908
131,though,4895
132,hot,4889
133,atmosphere,4851
134,something,4842
135,asked,4701
136,quality,4676
137,home,4636
138,worth,4592
139,fry,4571
140,long,4553
141,awesome,4510
142,option,4487
143,enough,4459
144,perfect,4399
145,called,4319
146,half,4313
147,meatball,4303
148,tasty,4251
149,waitress,4213
