,business_id,name,address,city,latitude,longitude,stars,review_count,categories,Alcohol,Ambience,BikeParking,BusinessAcceptsCreditCards,Caters,GoodForKids,HasTV,NoiseLevel,OutdoorSeating,RestaurantsAttire,RestaurantsDelivery,RestaurantsGoodForGroups,RestaurantsReservations,RestaurantsTakeOut,WiFi,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,Ambience_casual,Ambience_classy,Ambience_divey,Ambience_hipster,Ambience_intimate,Ambience_romantic,Ambience_trendy,Ambience_upscale,BusinessParking_garage,BusinessParking_lot,BusinessParking_street,BusinessParking_valet,BusinessParking_validated,BusinessParking,GoodForMeal,GoodForMeal_breakfast,GoodForMeal_brunch,GoodForMeal_dessert,GoodForMeal_dinner,GoodForMeal_lunch,GoodForMeal_latenight
0,ZkzutF0P_u0C0yTulwaHkA,Lelulos Pizzeria,311 Unity Center Rd,Pittsburgh,40.489995799999996,-79.77928790000001,4.0,31,"Restaurants, Pizza",None,,True,True,,True,True,quiet,False,casual,True,True,True,True,no,11:0-22:0,0:0-0:0,11:0-22:0,11:0-20:0,11:0-21:0,11:0-21:0,11:0-21:0,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
1,39lLJK_rrYY2NYomSsQdUA,Marco's Pizza,24335 Chagrin Blvd,Cleveland,41.4657893,-81.5063487,2.5,11,"Restaurants, Pizza",,,,True,,True,,quiet,,casual,True,False,False,True,no,,,,,,,,False,False,False,False,False,False,False,False,,,,,,,,,,,,,
2,0y6alZmSLnPzmG5_kP5Quw,J J's Pizza,20542 Lorain Rd,Cleveland,41.4483412,-81.84764399999999,4.5,21,"Pizza, Italian, Restaurants",None,,True,True,True,True,True,quiet,False,casual,True,True,False,True,no,11:0-22:0,11:0-21:0,11:0-22:0,11:0-21:0,11:0-22:0,11:0-21:0,11:0-21:0,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
3,_Kp1IPTi17wBywYOd30raA,Pizza Hut,8609 University Blvd,Pittsburgh,40.507267999999996,-80.22263199999999,2.0,14,"Restaurants, Pizza, Chicken Wings, Italian",beer_and_wine,classy,,True,False,True,True,quiet,False,casual,True,True,False,True,no,11:0-0:0,11:0-23:0,11:0-0:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,False,True,False,False,False,False,False,False,False,True,False,False,False,lot,,,,,,,
4,crBw_Hq3gCkppirgjnIl4A,Famous Yeti's Pizza,971 N Page St,Madison,42.9265263,-89.222592,4.5,60,"Restaurants, Pizza",beer_and_wine,casual,True,True,True,True,True,average,False,casual,True,True,False,True,free,11:0-22:30,11:0-21:30,15:0-22:30,11:0-21:0,11:0-21:30,11:0-21:30,11:0-21:30,True,False,False,False,False,False,False,False,False,True,False,False,False,lot,dinner lunch,False,False,False,True,True,False
5,cPNolx5Ae2znDZNA7GG5BQ,Little Caesars Pizza,9315 State Rte 14,Cleveland,41.2390005,-81.34754720000001,3.5,5,"Pizza, Restaurants",,,,,,True,,,,,True,,False,True,,,,,,,,,,,,,,,,,False,True,False,False,False,lot,,,,,,,
6,7LzhLKAwS7PHUvaPIW833A,Dominic's Santos,21467 Lorain Rd,Cleveland,41.4436519,-81.8581755,3.5,40,"Italian, Pizza, Restaurants, American (Traditional)",beer_and_wine,casual classy,True,True,True,True,True,average,True,casual,False,True,True,True,no,,,,,,,,True,True,False,False,False,False,False,False,False,True,False,False,False,lot,dinner,False,False,False,True,False,False
7,ijNQXC2cBhbkf6iB6D8OJw,Genoa Pizza & Bar,111 Market St,Pittsburgh,40.4388711,-80.00385329999999,3.0,68,"Food, Restaurants, Bars, Nightlife, Italian, Pizza, Food Delivery Services",full_bar,,True,True,True,True,True,average,False,casual,True,True,True,True,free,10:0-3:0,10:0-2:0,10:0-3:0,10:0-2:0,10:0-2:0,10:0-2:0,10:0-2:0,False,False,False,False,False,False,False,False,False,False,True,False,False,street,lunch,False,False,False,False,True,False
8,00J65e-ewht6GZ9fXZdP1w,Pizza Hut,5041 Abbe Rd,Cleveland,41.425301899999994,-82.0765245744,2.0,10,"Italian, Chicken Wings, Restaurants, Pizza",beer_and_wine,,False,True,True,True,True,loud,False,casual,True,True,False,True,,11:0-0:45,11:0-23:0,11:0-0:45,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
9,isao1F5FW5kvQl402UlJ3g,Little Caesars,125 Broad St,Cleveland,41.368041999999996,-82.100909,3.0,4,"Pizza, Restaurants",,,,,,,True,,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,x1Cd2gSPZVeNxDPzzqlClQ,Casey's General Store,602 W North St,Madison,43.2532756,-89.356575,4.0,10,"Pizza, Restaurants, Automotive, Gas Stations, Convenience Stores, Food",None,,True,True,,True,True,,False,casual,True,True,False,True,no,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
11,4Vig7oCo9P-j2OnPUfaXCA,Papa John's Pizza,1307 E Florida Ave,Urbana-Champaign,40.0980033,-88.19275090000001,2.0,5,"Pizza, Restaurants",None,,,True,False,False,,,False,casual,True,False,False,True,no,,,,,,,,,,,,,,,,False,False,False,False,False,,,,,,,,
12,sytLExNDyQuELMDguVUqhA,Pizza Hut,19565 Detroit Rd,Cleveland,41.479501,-81.83924630279999,2.0,3,"Pizza, Italian, Restaurants, Chicken Wings",,,,True,,True,,,False,,True,False,False,True,,11:0-0:0,11:0-23:0,11:0-0:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,,,,,,,,,,,,,,,,,,,,,
